Posição,Jogador,País,Posição Campo,Defesas da goleira,Ações do goleiro dentro da área penal,Ações do goleiro fora da área penal
53,Nour Baniateyah,JOR,GK,0,0,0
53,Keisuke Osako,JPN,GK,0,0,0
53,Oussama Benbot,ALG,GK,0,0,0
53,Salah Zakaria,QAT,GK,0,0,0
53,Matthieu Epolo,COD,GK,0,0,0
53,Payam Niazmand,IRN,GK,0,0,0
53,Fahad Talib,IRQ,GK,0,0,0
53,Abdallah Alfakhori,JOR,GK,0,0,0
53,Timothy Fayulu,COD,GK,0,0,0
53,Chris Brady,USA,GK,0,0,0
53,Gonzalo Valle,ECU,GK,0,0,0
53,Guillermo Ochoa,MEX,GK,0,3,3
53,Carlos Acevedo,MEX,GK,0,0,0
53,Gatito Fernandez,PAR,GK,0,0,0
53,David Ospina,COL,GK,0,0,0
53,Matt Turner,USA,GK,0,0,0
53,Moises Ramirez,ECU,GK,0,0,0
53,Luis Mejia,PAN,GK,0,0,0
53,Gaston Olveira,PAR,GK,0,0,0
53,Cesar Samudio,PAN,GK,0,0,0
53,Weverton,BRA,GK,0,0,0
53,Alvaro Montero,COL,GK,0,0,0
53,Ederson,BRA,GK,0,0,0
53,Sergio Rochet,URU,GK,0,0,0
53,Geronimo Rulli,ARG,GK,0,0,0
53,Juan Musso,ARG,GK,0,0,0
53,Santiago Mele,URU,GK,0,0,0
