Posição,Jogador,País,Posição Campo,Assistências,Finalizações certas,Finalizações,Finalizações convertidas Porcentagem (%),Chutes na área,Chutes fora da área,Cabeceios a gol,GE,Eficiência em GE,Escanteios
16,Florian Wirtz,GER,MF,1,1,5,0,4,1,0,0.86,0x,2
16,Petar Sucic,CRO,MF,1,0,1,0,0,1,0,0.03,0x,0
16,Nadiem Amiri,GER,MF,1,1,1,0,1,0,0,0.21,0x,0
16,Pedro Neto,POR,FW,1,0,0,0,0,0,0,0.0,0x,0
16,Ivan Perisic,CRO,FW,1,0,0,0,0,0,0,0.0,0x,2
16,Felix Nmecha,GER,MF,1,3,6,17,3,3,0,0.42,2.36x,0
16,Xaver Schlager,AUT,MF,1,0,0,0,0,0,0,0.0,0x,0
16,Josip Stanisic,CRO,DF,1,0,0,0,0,0,0,0.0,0x,0
16,Nathaniel Brown,GER,DF,1,2,3,33,3,0,0,0.21,4.87x,5
16,Bruno Fernandes,POR,MF,1,1,4,0,1,3,0,0.18,0x,4
16,Ousmane Dembele,FRA,FW,1,2,5,20,3,2,0,0.55,1.82x,2
16,Cody Gakpo,NED,FW,1,5,7,29,5,2,1,0.99,2x,0
16,Elliot Anderson,ENG,MF,1,0,5,0,3,2,2,0.3,0x,0
16,David Moller Wolfe,NOR,DF,1,0,0,0,0,0,0,0.0,0x,0
16,Declan Rice,ENG,MF,1,1,4,0,3,1,1,0.21,0x,17
16,Bukayo Saka,ENG,FW,1,1,2,0,1,1,1,0.17,0x,0
16,Adrien Rabiot,FRA,MF,1,0,1,0,1,0,1,0.53,0x,0
16,Memphis Depay,NED,FW,1,0,0,0,0,0,0,0.0,0x,1
16,Patrick Berg,NOR,MF,1,0,0,0,0,0,0,0.0,0x,0
16,Edmilson Junior,QAT,FW,1,2,3,0,3,0,0,0.43,0x,0
16,Ayase Ueda,JPN,FW,1,3,6,33,3,3,1,0.53,3.79x,0
16,Noor Alrawabdeh,JOR,MF,1,0,1,0,0,1,0,0.03,0x,0
16,Kou Itakura,JPN,DF,1,0,0,0,0,0,0,0.0,0x,0
16,Koki Ogawa,JPN,FW,1,0,2,0,2,0,2,0.06,0x,0
16,Amir Alammari,IRQ,MF,1,0,0,0,0,0,0,0.0,0x,2
16,Arthur Masuaku,COD,DF,1,0,0,0,0,0,0,0.0,0x,6
16,Mousa Altamari,JOR,FW,1,2,6,0,3,3,0,0.28,0x,0
16,Ramin Rezaeian,IRN,DF,1,1,1,100,1,0,0,0.59,1.7x,5
16,Keito Nakamura,JPN,MF,1,1,4,25,1,3,0,0.1,10.21x,0
16,Riyad Mahrez,ALG,FW,1,1,2,0,1,1,0,0.59,0x,4
16,Takefusa Kubo,JPN,MF,1,0,1,0,0,1,0,0.01,0x,0
16,Hwang Inbeom,KOR,MF,1,2,4,25,2,2,0,0.37,2.74x,0
16,Lee Kangin,KOR,MF,1,1,4,0,1,3,0,0.15,0x,9
16,Kaishu Sano,JPN,MF,1,0,0,0,0,0,0,0.0,0x,0
16,Tim Payne,NZL,DF,1,0,0,0,0,0,0,0.0,0x,2
16,Lucas Bergvall,SWE,MF,1,0,1,0,1,0,0,0.61,0x,0
16,Alexandr Sojka,CZE,MF,1,0,0,0,0,0,0,0.0,0x,1
16,Viktor Gyokeres,SWE,FW,1,5,10,10,8,2,0,1.13,0.88x,0
16,Ruben Vargas,SUI,FW,1,4,6,33,4,2,0,1.31,1.53x,9
16,Dani Olmo,ESP,FW,1,0,2,0,1,1,0,0.03,0x,0
16,Paul Okon Engstler,AUS,MF,1,0,0,0,0,0,0,0.0,0x,1
16,Johan Manzambi,SUI,MF,1,3,6,50,4,2,0,0.63,4.73x,0
16,Dennis Hadzikadunic,BIH,DF,1,0,0,0,0,0,0,0.0,0x,0
16,Mikel Oyarzabal,ESP,FW,1,4,10,20,8,2,4,1.69,1.19x,0
16,Ivan Basic,BIH,MF,1,0,4,0,0,4,0,0.15,0x,5
16,Vladimir Coufal,CZE,DF,1,0,1,0,1,0,1,0.02,0x,9
16,Aymeric Laporte,ESP,DF,1,1,2,0,1,1,1,0.03,0x,0
16,Sead Kolasinac,BIH,DF,1,0,0,0,0,0,0,0.0,0x,0
16,Erik Lira,MEX,MF,1,0,0,0,0,0,0,0.0,0x,0
16,Gustavo Puerta,COL,DF,1,2,6,0,0,6,0,0.13,0x,0
16,Lucas Paqueta,BRA,MF,1,1,3,0,1,2,0,0.1,0x,1
16,Rodrigo De Paul,ARG,MF,1,0,0,0,0,0,0,0.0,0x,0
16,Juan Quintero,COL,MF,1,0,1,0,0,1,0,0.04,0x,2
16,Cucho Hernandez,COL,FW,1,0,0,0,0,0,0,0.0,0x,0
16,Vinicius Junior,BRA,FW,1,8,12,33,11,1,1,2.71,1.48x,0
16,Luis Romo,MEX,MF,1,1,1,100,1,0,0,0.04,25.93x,0
16,Malik Tillman,USA,MF,1,2,5,0,4,1,0,0.37,0x,7
16,Luis Diaz,COL,FW,1,3,7,14,6,1,0,0.64,1.55x,0
16,Maxi Araujo,URU,MF,1,3,4,50,3,1,2,1.09,1.83x,10
16,Rayan,BRA,FW,1,1,2,0,1,1,0,0.61,0x,0
16,Christian Pulisic,USA,FW,1,0,0,0,0,0,0,0.0,0x,0
16,Alex Freeman,USA,DF,1,1,1,100,1,0,1,0.67,1.48x,0
16,Nico Gonzalez,ARG,MF,1,0,2,0,2,0,1,0.22,0x,0
16,Jorge Sanchez,MEX,DF,1,1,1,0,1,0,0,0.04,0x,0
16,Facundo Medina,ARG,DF,1,0,0,0,0,0,0,0.0,0x,0
97,Davinson Sanchez,COL,DF,0,1,2,0,2,0,2,0.27,0x,0
97,Chris Brady,USA,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Jefferson Lerma,COL,MF,0,0,3,0,2,1,0,0.18,0x,0
97,Armando Gonzalez,MEX,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Damian Bobadilla,PAR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Roderick Miller,PAN,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Lionel Messi,ARG,FW,0,8,13,38,7,6,0,2.95,1.7x,3
97,Alexandro Maidana,PAR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Alvaro Montero,COL,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Douglas Santos,BRA,DF,0,0,2,0,2,0,0,0.2,0x,0
97,Alex Arce,PAR,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Yerry Mina,COL,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Jorge Carrascal,COL,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Guillermo Martinez,MEX,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Mateo Chavez,MEX,DF,0,1,1,100,1,0,0,0.49,2.04x,0
97,Jhon Cordoba,COL,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Emiliano Martinez,ARG,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Jose Canale,PAR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Diego Gomez,PAR,MF,0,0,5,0,2,3,0,0.23,0x,0
97,Gabriel Avalos,PAR,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Eric Davis,PAN,DF,0,0,0,0,0,0,0,0.0,0x,1
97,Gustavo Velazquez,PAR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Gonzalo Plata,ECU,FW,0,4,6,0,2,4,1,0.39,0x,4
97,Ismael Diaz,PAN,MF,0,2,2,0,1,1,1,0.17,0x,0
97,Nilson Angulo,ECU,FW,0,1,1,0,0,1,0,0.01,0x,3
97,Leo Pereira,BRA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Gustavo Caballero,PAR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Gilberto Mora,MEX,MF,0,0,1,0,0,1,0,0.04,0x,0
97,Camilo Vargas,COL,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Fernando Muslera,URU,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Nicolas Tagliafico,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Matt Turner,USA,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Rodrigo Aguirre,URU,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Ramon Sosa,PAR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Federico Vinas,URU,FW,0,3,5,0,5,0,5,0.34,0x,0
97,Luis Suarez,COL,FW,0,0,1,0,1,0,0,0.02,0x,0
97,Cesar Samudio,PAN,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Fidel Escobar,PAN,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Raul Rangel,MEX,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Nicolas Otamendi,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Giorgian De Arrascaeta,URU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Daniel Munoz,COL,DF,0,2,3,67,3,0,0,0.64,3.11x,0
97,Gaston Olveira,PAR,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Jose Manuel Lopez,ARG,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Brian Gutierrez,MEX,MF,0,0,5,0,2,3,0,0.35,0x,1
97,Max Arfsten,USA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Anibal Godoy,PAN,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Santiago Arias,COL,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Amir Murillo,PAN,DF,0,1,3,0,2,1,0,0.18,0x,0
97,Jose Maria Gimenez,URU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Orbelin Pineda,MEX,MF,0,0,0,0,0,0,0,0.0,0x,0
97,James Rodriguez,COL,MF,0,2,3,0,1,2,0,0.08,0x,4
97,Alberto Quintero,PAN,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Johan Mojica,COL,DF,0,1,2,0,0,2,0,0.03,0x,0
97,Leandro Paredes,ARG,MF,0,0,0,0,0,0,0,0.0,0x,0
97,David Alaba,AUT,DF,0,0,1,0,0,1,0,0.01,0x,0
97,Jackson Porozo,ECU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Obed Vargas,MEX,MF,0,1,1,0,0,1,0,0.02,0x,0
97,Antonee Robinson,USA,DF,0,0,0,0,0,0,0,0.0,0x,2
97,Jhon Lucumi,COL,DF,0,0,1,0,1,0,1,0.07,0x,0
97,Auston Trusty,USA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Guillermo Varela,URU,DF,0,0,2,0,0,2,0,0.01,0x,0
97,Andres Andrade,PAN,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Yaimar Medina,ECU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Juan Manuel Sanabria,URU,MF,0,0,3,0,2,1,0,0.09,0x,0
97,Kendry Paez,ECU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Luis Mejia,PAN,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Sergino Dest,USA,DF,0,1,3,0,1,2,0,0.21,0x,0
97,Felix Torres,ECU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Orlando Gill,PAR,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Deiver Machado,COL,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Alexander Schlager,AUT,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Orlando Mosquera,PAN,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Rodrigo Zalazar,URU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Jordy Alcivar,ECU,MF,0,0,1,0,1,0,0,0.04,0x,0
97,Juan Jose Caceres,PAR,DF,0,1,1,0,1,0,0,0.06,0x,0
97,Cecilio Waterman,PAN,FW,0,1,2,0,2,0,0,0.05,0x,0
97,Weston Mckennie,USA,MF,0,0,2,0,2,0,1,0.29,0x,0
97,Dominique Simon,HAI,MF,0,1,1,0,0,1,0,0.01,0x,1
97,Mauricio,PAR,MF,0,1,1,100,1,0,0,0.18,5.61x,0
97,Marko Arnautovic,AUT,FW,0,2,2,50,2,0,0,0.94,1.07x,0
97,Cristian Romero,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Weverton,BRA,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Gustavo Gomez,PAR,DF,0,0,1,0,1,0,1,0.04,0x,0
97,Alan Franco,ECU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Joaquin Piquerez,URU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Alvaro Fidalgo,MEX,MF,0,1,1,100,1,0,0,0.33,3.04x,0
97,Jorge Gutierrez,PAN,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Roger Ibanez,BRA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Darwin Nunez,URU,FW,0,0,1,0,1,0,1,0.16,0x,0
97,Jordy Caicedo,ECU,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Gatito Fernandez,PAR,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Alex Zendejas,USA,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Gonzalo Valle,ECU,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Timothy Weah,USA,FW,0,0,2,0,1,1,0,0.05,0x,0
97,Angelo Preciado,ECU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Cesar Huerta,MEX,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Jeremy Arevalo,ECU,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Brian Rodriguez,URU,FW,0,1,3,0,1,2,0,0.22,0x,9
97,Nico Paz,ARG,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Danilo Santos,BRA,MF,0,1,2,0,2,0,1,0.19,0x,0
97,Thiago Almada,ARG,FW,0,0,1,0,0,1,0,0.04,0x,0
97,Adalberto Carrasquilla,PAN,MF,0,0,0,0,0,0,0,0.0,0x,0
97,David Ospina,COL,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Exequiel Palacios,ARG,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Sergio Rochet,URU,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Luis Chavez,MEX,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Raul Jimenez,MEX,FW,0,3,6,17,5,1,3,0.82,1.22x,0
97,Omar Alderete,PAR,DF,0,0,1,0,0,1,0,0.01,0x,0
97,Cesar Montes,MEX,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Igor Thiago,BRA,FW,0,1,2,0,2,0,1,0.4,0x,0
97,Miles Robinson,USA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Sebastian Berhalter,USA,MF,0,0,1,0,0,1,0,0.02,0x,1
97,Tim Ream,USA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Rodrigo Bentancur,URU,MF,0,0,3,0,3,0,3,0.29,0x,0
97,Alex Sandro,BRA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Cristian Martinez,PAN,MF,0,0,1,0,1,0,0,0.24,0x,3
97,Joel Ordonez,ECU,DF,0,0,2,0,2,0,1,0.26,0x,0
97,Geronimo Rulli,ARG,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Kevin Castano,COL,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Israel Reyes,MEX,DF,0,0,2,0,2,0,1,0.06,0x,0
97,Willian Pacho,ECU,DF,0,1,1,0,1,0,1,0.11,0x,0
97,Fabinho,BRA,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Emiliano Martinez,URU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Ederson Silva,BRA,MF,0,0,1,0,1,0,0,0.32,0x,0
97,Manuel Ugarte,URU,MF,0,1,3,0,0,3,0,0.09,0x,0
97,Matias Galarza,PAR,MF,0,1,2,50,0,2,0,0.07,13.75x,0
97,Agustin Canobbio,URU,MF,0,1,3,33,3,0,1,0.67,1.5x,0
97,Azarias Londono,PAN,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Braian Ojeda,PAR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Cesar Yanis,PAN,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Giovani Lo Celso,ARG,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Edgar Yoel Barcenas,PAN,MF,0,0,2,0,0,2,0,0.05,0x,2
97,Moises Ramirez,ECU,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Carlos Acevedo,MEX,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Federico Valverde,URU,MF,0,2,10,0,3,7,0,0.5,0x,2
97,Hernan Galindez,ECU,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Joe Scally,USA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Jhon Arias,COL,MF,0,1,4,0,3,1,0,0.37,0x,3
97,Endrick,BRA,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Lautaro Martinez,ARG,FW,0,1,1,0,1,0,0,0.11,0x,0
97,Edson Alvarez,MEX,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Fabian Balbuena,PAR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Alexis Vega,MEX,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Haji Wright,USA,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Valentin Barco,ARG,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Mathias Olivera,URU,DF,0,0,1,0,1,0,1,0.05,0x,0
97,Piero Hincapie,ECU,DF,0,0,3,0,3,0,3,0.4,0x,0
97,Jiovany Ramos,PAN,DF,0,0,2,0,1,1,0,0.15,0x,0
97,Ricardo Pepi,USA,FW,0,0,3,0,3,0,2,0.21,0x,0
97,Jose Fajardo,PAN,FW,0,0,1,0,1,0,1,0.25,0x,0
97,Alan Minda,ECU,MF,0,0,2,0,1,1,0,0.44,0x,0
97,Richard Rios,COL,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Matias Vina,URU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Luiz Henrique,BRA,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Alejandro Romero Gamarra,PAR,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Alexis Mac Allister,ARG,MF,0,1,2,0,1,1,1,0.08,0x,0
97,Jose Luis Rodriguez,PAN,MF,0,0,1,0,0,1,0,0.08,0x,3
97,Ederson,BRA,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Lisandro Martinez,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Santiago Mele,URU,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Mark Mckenzie,USA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Willer Ditta,COL,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Alessandro Schoepf,AUT,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Kevin Rodriguez,ECU,FW,0,1,4,0,4,0,2,0.2,0x,0
97,Raphinha,BRA,FW,0,2,3,0,1,2,0,0.34,0x,7
97,Andres Cubas,PAR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Juan Portilla,COL,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Facundo Pellistri,URU,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Isidro Pitta,PAR,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Philipp Lienhart,AUT,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Neymar Jr,BRA,FW,0,1,1,0,1,0,0,0.02,0x,3
97,Santiago Gimenez,MEX,FW,0,1,1,0,1,0,0,0.3,0x,0
97,Bremer,BRA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Nahuel Molina,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Nicolas De La Cruz,URU,MF,0,1,3,0,1,2,0,0.1,0x,4
97,Anthony Valencia,ECU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Antonio Sanabria,PAR,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Jose Cordoba,PAN,DF,0,0,0,0,0,0,0,0.0,0x,0
97,John Yeboah,ECU,FW,0,2,6,0,2,4,0,0.48,0x,2
97,Giovanni Reyna,USA,MF,0,1,1,100,1,0,0,0.14,7.19x,0
97,Andres Gomez,COL,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Julian Quinones,MEX,FW,0,4,10,20,6,4,2,1.53,1.3x,0
97,Matheus Cunha,BRA,FW,0,3,6,50,4,2,0,1.03,2.91x,2
97,Marcel Sabitzer,AUT,MF,0,1,4,0,1,3,0,0.3,0x,7
97,Pedro Vite,ECU,MF,0,1,3,0,1,2,0,0.2,0x,0
97,Tyler Adams,USA,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Gonzalo Montiel,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Santiago Bueno,URU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Moises Caicedo,ECU,MF,0,1,2,0,0,2,0,0.12,0x,5
97,Miguel Almiron,PAR,MF,0,0,2,0,0,2,0,0.06,0x,0
97,Carlos Harvey,PAN,DF,0,0,3,0,2,1,1,0.21,0x,0
97,Danilo,BRA,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Jesus Gallardo,MEX,DF,0,0,3,0,2,1,0,0.11,0x,0
97,Casemiro,BRA,MF,0,0,1,0,0,1,0,0.01,0x,0
97,Johan Vasquez,MEX,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Enzo Fernandez,ARG,MF,0,0,2,0,1,1,0,0.19,0x,0
97,Guillermo Ochoa,MEX,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Folarin Balogun,USA,FW,0,3,7,29,7,0,1,1.43,1.39x,0
97,Cristian Roldan,USA,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Chris Richards,USA,DF,0,0,1,0,1,0,1,0.06,0x,0
97,Enner Valencia,ECU,FW,0,5,8,0,8,0,2,1.46,0x,0
97,Marcos Senesi,ARG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Giuliano Simeone,ARG,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Ronald Araujo,URU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Junior Alonso,PAR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Cesar Blackman,PAN,DF,0,1,2,0,2,0,0,0.08,0x,0
97,Gabriel Magalhaes,BRA,DF,0,0,1,0,1,0,0,0.03,0x,0
97,Tomas Rodriguez,PAN,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Alisson,BRA,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Brenden Aaronson,USA,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Pervis Estupinan,ECU,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Gabriel Martinelli,BRA,FW,0,0,0,0,0,0,0,0.0,0x,0
97,Jaminton Campaz,COL,FW,0,1,2,50,1,1,1,0.23,4.44x,0
97,Edgardo Farina,PAN,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Julian Alvarez,ARG,FW,0,1,1,0,1,0,0,0.45,0x,0
97,Sebastian Caceres,URU,DF,0,0,3,0,2,1,2,0.13,0x,0
97,Matt Freese,USA,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Denil Castillo,ECU,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Marquinhos,BRA,DF,0,0,2,0,2,0,1,0.21,0x,0
97,Juan Musso,ARG,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Lee Gihyuk,KOR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Hossein Kanani,IRN,DF,0,1,1,0,1,0,0,0.02,0x,0
97,Aissa Mandi,ALG,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Kim Moonhwan,KOR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Youssef Amyn,IRQ,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Abdulelah Alamri,KSA,DF,0,2,3,33,2,1,0,0.92,1.08x,0
97,Jamiro Monteiro,CPV,MF,0,0,2,0,0,2,0,0.06,0x,1
97,Kim Minjae,KOR,DF,0,1,1,0,1,0,1,0.1,0x,0
97,Mohammad Aldaoud,JOR,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Mohannad Abutaha,JOR,MF,0,0,0,0,0,0,0,0.0,0x,2
97,Jalal Hassan,IRQ,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Nabil Bentaleb,ALG,MF,0,0,1,0,0,1,0,0.02,0x,0
97,Yazeed Abulaila,JOR,GK,0,0,0,0,0,0,0,0.0,0x,0
97,Aimar Sher,IRQ,MF,0,0,0,0,0,0,0,0.0,0x,0
97,Lee Hanbeom,KOR,DF,0,0,2,0,2,0,2,0.22,0x,0
97,Yazan Alarab,JOR,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Sultan Albrake,QAT,DF,0,0,0,0,0,0,0,0.0,0x,0
97,Ahmed Alkassar,KSA,GK,0,0,0,0,0,0,0,0.0,0x,0
