Posição,Jogador,País,Posição Campo,Faltas cometidas,Faltas sofridas,Cartões amarelos,Cartões vermelhos,Cartões vermelhos indiretos,Impedimentos
19,Jose Cordoba,PAN,DF,5,1,0,0,0,0
19,Danilo,BRA,DF,5,0,1,0,0,1
19,Juan Jose Caceres,PAR,DF,5,3,1,0,0,0
38,Alan Franco,ECU,MF,4,0,0,0,0,0
38,Weston Mckennie,USA,MF,4,1,0,0,0,0
38,Vinicius Junior,BRA,FW,4,6,0,0,0,3
38,Casemiro,BRA,MF,4,4,1,0,0,0
38,Agustin Canobbio,URU,MF,4,1,0,0,0,0
38,Edson Alvarez,MEX,DF,4,2,1,0,0,0
38,Rodrigo Bentancur,URU,MF,4,3,1,0,0,0
38,Fabinho,BRA,MF,4,0,1,0,0,0
38,Josue Casimir,HAI,FW,4,4,1,0,0,0
38,Alexis Mac Allister,ARG,MF,4,2,0,0,0,0
38,Lautaro Martinez,ARG,FW,4,2,0,0,0,1
38,Cristian Martinez,PAN,MF,4,3,0,0,0,1
38,Harry Souttar,AUS,DF,4,1,1,0,0,0
38,Ruben Vargas,SUI,FW,4,4,0,0,0,0
38,Vladimir Coufal,CZE,DF,4,3,0,0,0,1
38,Amar Dedic,BIH,DF,4,3,1,0,0,0
38,Remo Freuler,SUI,MF,4,2,0,0,0,1
38,Adam Hlozek,CZE,FW,4,4,0,0,0,0
38,Tarik Muharemovic,BIH,DF,4,1,0,1,0,0
38,Stefan Posch,AUT,DF,4,1,1,0,0,0
38,Alexander Sorloth,NOR,FW,4,2,0,0,0,0
38,Nathan Ngoy,BEL,DF,4,1,0,1,0,0
38,Konrad Laimer,AUT,MF,4,3,1,0,0,2
38,Erling Haaland,NOR,FW,4,3,0,0,0,0
38,Joao Cancelo,POR,DF,4,2,0,0,0,1
38,Fredrik Aursnes,NOR,MF,4,0,0,0,0,0
38,Petar Sucic,CRO,MF,4,1,1,0,0,0
38,Che Adams,SCO,FW,4,2,0,0,0,0
38,Kerim Alajbegovic,BIH,FW,4,5,0,0,0,1
38,Derek Cornelius,CAN,DF,4,2,1,0,0,0
38,Alistair Johnston,CAN,DF,4,4,1,0,0,0
38,Jean Ricner Bellegarde,HAI,MF,4,5,1,0,0,0
38,Achraf Hakimi,MAR,DF,4,10,0,0,0,0
38,Aubrey Modiba,RSA,DF,4,3,1,0,0,2
38,Caleb Yirenkyi,GHA,MF,4,3,1,0,0,0
38,Ali Abdi,TUN,DF,4,2,0,0,0,0
38,Kwasi Sibo,GHA,MF,4,0,0,0,0,0
38,Guela Doue,CIV,DF,4,2,1,0,0,0
38,Sphephelo Sithole,RSA,MF,4,1,0,1,0,0
38,Yan Valery,TUN,DF,4,1,0,0,0,0
38,Khuliso Mudau,RSA,DF,4,6,0,0,0,1
38,Franck Kessie,CIV,MF,4,2,1,0,0,1
38,Takehiro Tomiyasu,JPN,DF,4,1,0,0,0,0
38,Saeid Ezatolahi,IRN,MF,4,0,1,0,0,0
38,Homam Ahmed,QAT,DF,4,0,0,1,0,0
38,Hiroki Ito,JPN,DF,4,0,0,0,0,0
38,Nizar Alrashdan,JOR,MF,4,3,0,0,0,0
38,Edmilson Junior,QAT,FW,4,2,0,0,0,1
38,Yoane Wissa,COD,FW,4,4,0,0,0,0
87,Mohamed Manai,QAT,FW,3,0,0,0,0,0
87,Rayan Ait Nouri,ALG,DF,3,3,0,0,0,0
87,Lee Taeseok,KOR,DF,3,1,0,0,0,0
87,Castrop Jens,KOR,DF,3,0,0,0,0,0
87,Nasser Aldawsari,KSA,MF,3,1,0,0,0,0
87,Keito Nakamura,JPN,MF,3,1,0,0,0,1
87,Shoja Khalilzadeh,IRN,DF,3,0,0,0,0,0
87,Zaid Tahseen,IRQ,DF,3,2,1,0,0,0
87,Rafik Belghali,ALG,DF,3,0,0,0,0,0
87,Harry Kane,ENG,FW,3,3,0,0,0,0
87,Vitinha,POR,MF,3,0,0,0,0,0
87,Brandon Mechele,BEL,DF,3,1,0,0,0,0
87,Nuno Mendes,POR,DF,3,7,0,0,0,1
87,Jamal Musiala,GER,MF,3,4,0,0,0,0
87,Andy Robertson,SCO,DF,3,1,1,0,0,0
87,Adrien Rabiot,FRA,MF,3,0,0,0,0,0
87,Ezri Konsa,ENG,DF,3,4,0,0,0,0
87,Micky Van De Ven,NED,DF,3,1,1,0,0,0
87,Kylian Mbappe,FRA,FW,3,2,0,0,0,1
87,Kieran Tierney,SCO,DF,3,2,0,0,0,0
87,Patrick Wimmer,AUT,FW,3,1,0,0,0,0
87,Daniel Munoz,COL,DF,3,1,0,0,0,2
87,Rayan,BRA,FW,3,3,0,0,0,0
87,Jhon Lucumi,COL,DF,3,0,1,0,0,0
87,Moises Caicedo,ECU,MF,3,2,0,0,0,0
87,Luis Diaz,COL,FW,3,5,0,0,0,6
87,Raul Jimenez,MEX,FW,3,1,0,0,0,1
87,Lucas Paqueta,BRA,MF,3,5,0,0,0,0
87,Enzo Fernandez,ARG,MF,3,2,0,0,0,0
87,Gustavo Puerta,COL,DF,3,4,0,0,0,0
87,Ricardo Pepi,USA,FW,3,0,0,0,0,0
87,Brian Gutierrez,MEX,MF,3,2,1,0,0,0
87,Julian Quinones,MEX,FW,3,6,0,0,0,1
87,Jefferson Lerma,COL,MF,3,4,1,0,0,0
87,Tyler Adams,USA,MF,3,5,1,0,0,0
87,Cristian Romero,ARG,DF,3,1,0,0,0,0
87,Guillermo Martinez,MEX,FW,3,1,0,0,0,0
87,Bruno Guimaraes,BRA,MF,3,6,0,0,0,0
87,Cesar Montes,MEX,DF,3,3,0,1,0,0
87,Facundo Medina,ARG,DF,3,2,1,0,0,0
87,Andres Andrade,PAN,DF,3,0,0,0,0,0
87,Douglas Santos,BRA,DF,3,1,1,0,0,1
87,Tomas Soucek,CZE,MF,3,1,0,0,0,2
87,Nico Elvedi,SUI,DF,3,2,1,0,0,0
87,Joe Bell,NZL,MF,3,0,0,0,0,0
87,Gabriel Gudmundsson,SWE,DF,3,4,1,0,0,0
87,Benjamin Nygren,SWE,MF,3,0,0,0,0,0
87,Paul Okon Engstler,AUS,MF,3,2,0,0,0,0
87,Lukas Cerv,CZE,MF,3,3,0,0,0,0
87,Jesper Karlstrom,SWE,MF,3,0,0,0,0,0
87,Mohamed Toure,AUS,FW,3,1,0,0,0,1
87,Benjamin Tahirovic,BIH,MF,3,2,0,0,0,0
87,Scott Mctominay,SCO,MF,3,0,0,0,0,0
87,Nikola Katic,BIH,DF,3,0,1,0,0,0
87,Alessandro Circati,AUS,DF,3,1,1,0,0,0
87,Nestory Irankunda,AUS,FW,3,2,0,0,0,0
87,Tete Yengi,AUS,FW,3,0,0,0,0,0
87,Michel Aebischer,SUI,MF,3,2,0,0,0,0
87,Finn Surman,NZL,DF,3,1,0,0,0,0
87,Luca Jaquez,SUI,DF,3,1,0,0,0,0
87,Ferran Torres,ESP,FW,3,0,0,0,0,1
87,Marc Cucurella,ESP,DF,3,0,0,0,0,1
87,Abdukodir Khusanov,UZB,DF,3,0,1,0,0,0
87,Victor Lindelof,SWE,DF,3,0,0,0,0,0
87,Ben Gannon Doak,SCO,FW,3,1,0,0,0,0
87,Wilfried Singo,CIV,DF,3,1,0,0,0,0
87,Prince Adu,GHA,FW,3,0,0,0,0,0
87,Teboho Mokoena,RSA,MF,3,5,2,0,0,0
87,Ruben Providence,HAI,FW,3,4,0,0,0,0
87,Ismael Saibari,MAR,MF,3,2,0,0,0,2
87,Louicius Deedson,HAI,FW,3,1,0,0,0,1
87,Marawan Attia,EGY,MF,3,0,1,0,0,0
87,Wilson Isidor,HAI,FW,3,2,0,0,0,1
87,Soufiane Rahimi,MAR,FW,3,2,1,0,0,0
87,Mohanad Lashin,EGY,MF,3,1,1,0,0,0
87,Cyle Larin,CAN,FW,3,1,1,0,0,3
87,Marvin Senaya,GHA,DF,3,2,0,0,0,0
87,Bilal El Khannouss,MAR,MF,3,3,0,0,0,0
87,Noussair Mazraoui,MAR,DF,3,2,0,0,0,0
87,Hannibal Mejbri,TUN,MF,3,10,0,0,0,0
87,Leandro Bacuna,CUW,MF,3,2,1,0,0,0
87,Juninho Bacuna,CUW,MF,3,3,1,0,0,0
87,Livano Comenencia,CUW,MF,3,1,1,0,0,0
170,Juergen Locadia,CUW,FW,2,4,0,0,0,2
170,Jurien Gaari,CUW,DF,2,1,1,0,0,0
170,Gervane Kastaneer,CUW,FW,2,0,1,0,0,0
170,Amar Memic,BIH,MF,2,3,0,0,0,0
170,Tahith Chong,CUW,MF,2,11,0,0,0,0
170,Riechedly Bazoer,CUW,DF,2,0,0,0,0,0
170,Pervis Estupinan,ECU,DF,2,0,0,0,0,0
170,Davinson Sanchez,COL,DF,2,1,0,0,0,0
170,Timothy Weah,USA,FW,2,0,0,0,0,0
170,Erik Lira,MEX,MF,2,2,0,0,0,0
170,Willian Pacho,ECU,DF,2,0,0,0,0,0
170,Enner Valencia,ECU,FW,2,5,0,0,0,1
170,Gustavo Gomez,PAR,DF,2,1,0,0,0,1
170,Edgar Yoel Barcenas,PAN,MF,2,2,1,0,0,0
170,Sebastian Caceres,URU,DF,2,2,0,0,0,0
170,Jiovany Ramos,PAN,DF,2,1,0,0,0,0
170,Jose Luis Rodriguez,PAN,MF,2,1,0,0,0,0
170,Jose Fajardo,PAN,FW,2,2,0,0,0,0
170,Matias Galarza,PAR,MF,2,3,1,0,0,0
170,Miguel Almiron,PAR,MF,2,2,1,1,0,0
170,Cesar Blackman,PAN,DF,2,2,1,0,0,1
170,Jackson Porozo,ECU,DF,2,0,1,0,0,0
170,Igor Thiago,BRA,FW,2,0,0,0,0,0
170,Nicolas Otamendi,ARG,DF,2,0,0,0,0,0
170,Isidro Pitta,PAR,FW,2,0,0,0,0,2
170,Richard Rios,COL,MF,2,1,0,0,0,0
170,Gabriel Martinelli,BRA,FW,2,3,0,0,0,0
170,Roberto Alvarado,MEX,FW,2,2,0,0,0,1
170,Jesus Gallardo,MEX,DF,2,1,0,0,0,0
170,Maxi Araujo,URU,MF,2,4,0,0,0,4
170,Folarin Balogun,USA,FW,2,6,1,0,0,2
170,Jorge Sanchez,MEX,DF,2,1,0,0,0,1
170,Roger Ibanez,BRA,DF,2,1,1,0,0,0
170,Omar Alderete,PAR,DF,2,2,0,0,0,0
170,Diego Gomez,PAR,MF,2,0,1,0,0,0
170,Mahmoud Almardi,JOR,FW,2,1,0,0,0,0
170,Zaid Ismael,IRQ,MF,2,0,0,0,0,0
170,Boualem Khoukhi,QAT,DF,2,1,0,0,0,0
170,Ayase Ueda,JPN,FW,2,2,0,0,0,0
170,Junya Ito,JPN,MF,2,2,0,0,0,0
170,Ehsan Hajisafi,IRN,DF,2,1,1,0,0,0
170,Ahmed Fathy,QAT,MF,2,1,2,0,0,0
170,Charles Pickel,COD,MF,2,1,1,0,0,0
170,Aymen Hussein,IRQ,FW,2,1,0,0,0,0
170,Mohammed Abu Alshamat,KSA,DF,2,1,0,0,0,0
170,Sultan Albrake,QAT,DF,2,0,0,0,0,0
170,Assim Madibo,QAT,MF,2,1,0,1,0,0
170,Lee Gihyuk,KOR,MF,2,2,1,0,0,0
170,Mehdi Ghayedi,IRN,FW,2,1,0,0,0,0
170,Kaishu Sano,JPN,MF,2,1,0,0,0,0
170,Hicham Boudaoui,ALG,MF,2,0,0,0,0,0
170,Mehdi Taremi,IRN,FW,2,3,0,0,0,2
170,Ehsan Haddad,JOR,DF,2,1,0,0,0,0
170,Steve Kapuadi,COD,DF,2,0,0,0,0,0
170,Axel Tuanzebe,COD,DF,2,1,0,0,0,0
170,Ramiz Zerrouki,ALG,MF,2,0,1,0,0,0
170,Mousa Altamari,JOR,FW,2,2,0,0,0,1
170,Mustafa Saadoon,IRQ,DF,2,0,0,0,0,0
170,Saud Abdulhamid,KSA,DF,2,1,0,0,0,0
170,Alireza Jahanbakhsh,IRN,MF,2,0,0,0,0,0
170,Kim Minjae,KOR,DF,2,0,0,0,0,0
170,Sidny Lopes Cabral,CPV,DF,2,7,2,0,0,0
170,Cedric Bakambu,COD,FW,2,1,0,0,0,2
170,Alhashmi Alhussein,QAT,DF,2,2,0,0,0,0
170,Amir Alammari,IRQ,MF,2,0,1,0,0,0
170,Maxim De Cuyper,BEL,DF,2,1,1,0,0,0
170,Patrick Berg,NOR,MF,2,0,0,0,0,0
170,Igor Matanovic,CRO,FW,2,1,0,0,0,0
170,Denzel Dumfries,NED,DF,2,1,0,0,0,0
170,Ryan Christie,SCO,MF,2,1,1,0,0,0
170,Nathan Patterson,SCO,DF,2,0,0,0,0,0
170,Ryan Gravenberch,NED,MF,2,1,0,0,0,0
170,Lyndon Dykes,SCO,FW,2,0,0,0,0,0
170,Marcus Rashford,ENG,FW,2,0,0,0,0,0
170,Ivan Perisic,CRO,FW,2,0,0,0,0,0
170,Jude Bellingham,ENG,MF,2,1,0,0,0,1
170,John Mcginn,SCO,MF,2,11,0,0,0,0
170,Anthony Ralston,SCO,DF,2,0,0,0,0,0
170,Felix Nmecha,GER,MF,2,2,0,0,0,0
170,Bruno Fernandes,POR,MF,2,3,0,0,0,0
170,Nathaniel Brown,GER,DF,2,0,0,0,0,0
170,Julian Ryerson,NOR,FW,2,0,0,0,0,0
170,Josko Gvardiol,CRO,DF,2,2,0,0,0,0
170,Deniz Undav,GER,FW,2,0,0,0,0,0
170,Mario Pasalic,CRO,MF,2,0,0,0,0,0
170,Sander Berge,NOR,MF,2,1,0,0,0,0
170,Nico Schlotterbeck,GER,DF,2,1,0,0,0,0
170,Paul Wanner,AUT,MF,2,0,0,0,0,0
170,Josip Sutalo,CRO,DF,2,0,0,0,0,0
170,Marc Guehi,ENG,DF,2,7,0,0,0,0
170,Romano Schmid,AUT,MF,2,4,0,0,0,0
170,Dayot Upamecano,FRA,DF,2,1,0,0,0,0
170,Renato Veiga,POR,DF,2,2,1,0,0,0
170,Declan Rice,ENG,MF,2,0,1,0,0,0
170,Mateo Kovacic,CRO,MF,2,2,0,0,0,0
170,Frenkie De Jong,NED,MF,2,2,0,0,0,0
170,Manu Kone,FRA,MF,2,1,0,0,0,0
170,Jonathan Tah,GER,DF,2,1,0,0,0,0
170,Ante Budimir,CRO,FW,2,2,0,0,0,0
170,Luka Modric,CRO,MF,2,3,0,0,0,0
170,Gideon Mensah,GHA,DF,2,1,0,0,0,0
170,Hamdy Fathy,EGY,MF,2,2,0,0,0,0
170,Promise David,CAN,FW,2,1,0,0,0,0
170,Inaki Williams,GHA,FW,2,0,1,0,0,1
170,Mostafa Zico,EGY,MF,2,3,0,0,0,1
170,Stephen Eustaquio,CAN,MF,2,4,0,0,0,0
170,Liam Millar,CAN,MF,2,1,1,0,0,0
170,Habib Diarra,SEN,MF,2,1,0,0,0,0
170,Tani Oluwaseyi,CAN,FW,2,2,0,0,0,1
170,Omar Marmoush,EGY,FW,2,5,0,0,0,0
170,Thapelo Maseko,RSA,FW,2,7,0,0,0,0
170,Relebohile Mofokeng,RSA,FW,2,0,0,0,0,0
170,Lamine Camara,SEN,MF,2,2,0,0,0,0
170,Richie Laryea,CAN,DF,2,9,0,0,0,0
170,Thalente Mbatha,RSA,MF,2,0,1,0,0,0
170,Ayyoub Bouaddi,MAR,MF,2,2,0,0,0,0
170,Ahmed Fatouh,EGY,DF,2,2,1,0,0,0
170,Ramy Rabia,EGY,DF,2,0,0,0,0,0
170,Nathan Saliba,CAN,MF,2,0,0,0,0,0
170,Mohamed Salah,EGY,FW,2,4,0,0,0,0
170,Nicolas Jackson,SEN,FW,2,0,0,0,0,5
170,El Hadji Malick Diouf,SEN,DF,2,0,0,0,0,0
170,Christ Inao Oulai,CIV,MF,2,3,0,0,0,0
170,Jean Kevin Duverne,HAI,DF,2,1,0,0,0,1
170,Sadio Mane,SEN,FW,2,4,0,0,0,1
170,Tim Payne,NZL,DF,2,1,0,0,0,0
170,Tomas Holes,CZE,DF,2,2,0,0,0,0
170,Callum Mccowatt,NZL,MF,2,1,1,0,0,0
170,Lukas Provod,CZE,MF,2,1,0,0,0,1
170,Yasin Ayari,SWE,MF,2,3,1,0,0,0
170,Ismail Yuksek,TUR,MF,2,0,0,0,0,0
170,Abbosbek Fayzullaev,UZB,MF,2,3,0,0,0,0
170,Merih Demiral,TUR,DF,2,1,0,0,0,3
170,Aaron Hickey,SCO,DF,2,4,1,0,0,0
170,Johan Manzambi,SUI,MF,2,1,0,0,0,1
170,Gavi,ESP,MF,2,0,0,0,0,0
170,Sarpreet Singh,NZL,MF,2,2,1,0,0,0
170,Ivan Basic,BIH,MF,2,3,0,0,0,0
170,Elijah Just,NZL,MF,2,2,0,0,0,0
170,Yunus Akgun,TUR,FW,2,1,1,0,0,0
170,Jason Geria,AUS,DF,2,0,0,0,0,0
170,Baris Alper Yilmaz,TUR,FW,2,0,0,0,0,1
170,Ryan Thomas,NZL,MF,2,2,0,0,0,0
170,Eren Elmali,TUR,DF,2,0,1,0,0,0
170,Deniz Gul,TUR,FW,2,0,0,0,0,0
170,Hakan Calhanoglu,TUR,MF,2,1,0,0,0,0
170,Viktor Gyokeres,SWE,FW,2,1,0,0,0,1
170,Lucas Bergvall,SWE,MF,2,1,1,0,0,0
170,Marko Stamenic,NZL,MF,2,0,0,0,0,0
170,Yeremy Pino,ESP,FW,2,0,0,0,0,0
170,Tomas Chory,CZE,FW,2,1,0,0,0,0
170,Pavel Sulc,CZE,FW,2,1,0,0,0,1
170,Isak Hien,SWE,DF,2,2,0,0,0,0
170,Jordan Bos,AUS,DF,2,1,1,0,0,0
324,Edin Dzeko,BIH,FW,1,2,1,0,0,0
324,Findlay Curtis,SCO,FW,1,0,1,0,0,0
324,Samed Bazdar,BIH,FW,1,1,0,0,0,0
324,Denis Zakaria,SUI,MF,1,0,1,0,0,0
324,Lamine Yamal,ESP,FW,1,0,0,0,0,0
324,Michael Boxall,NZL,DF,1,2,0,0,0,0
324,Zeki Celik,TUR,DF,1,0,0,0,0,0
324,Kenny Mclean,SCO,MF,1,1,1,0,0,0
324,Sherzod Nasrullaev,UZB,DF,1,0,0,0,0,0
324,Aymeric Laporte,ESP,DF,1,0,0,0,0,0
324,Silvan Widmer,SUI,DF,1,0,0,0,0,0
324,Liberato Cacace,NZL,DF,1,4,0,0,0,0
324,Jackson Irvine,AUS,MF,1,0,0,0,0,0
324,Dani Olmo,ESP,FW,1,0,0,0,0,0
324,Pedri,ESP,MF,1,0,1,0,0,1
324,Mert Muldur,TUR,DF,1,2,0,0,0,0
324,Nishan Velupillay,AUS,FW,1,0,0,0,0,0
324,Rustam Ashurmatov,UZB,DF,1,0,0,0,0,0
324,Dan Ndoye,SUI,FW,1,8,0,0,0,1
324,Mikel Oyarzabal,ESP,FW,1,0,0,0,0,0
324,Rodri,ESP,MF,1,1,0,0,0,1
324,Azizjon Ganiev,UZB,MF,1,1,0,0,0,0
324,Gustaf Lagerbielke,SWE,DF,1,1,0,0,0,1
324,Marcos Llorente,ESP,DF,1,1,0,0,0,0
324,Otabek Shukurov,UZB,MF,1,4,0,0,0,0
324,Patrik Schick,CZE,FW,1,3,0,0,0,0
324,Mikel Merino,ESP,MF,1,0,0,0,0,0
324,Pedro Porro,ESP,DF,1,0,0,0,0,0
324,Odiljon Xamrobekov,UZB,MF,1,1,1,0,0,0
324,Granit Xhaka,SUI,MF,1,4,1,0,0,0
324,Tyler Bindon,NZL,DF,1,1,0,0,0,0
324,Kenan Yildiz,TUR,FW,1,2,0,0,0,0
324,Esmir Bajraktarevic,BIH,FW,1,2,0,0,0,0
324,Stepan Chaloupek,CZE,DF,1,0,0,0,0,0
324,Cedric Itten,SUI,FW,1,1,0,0,0,0
324,Dennis Hadzikadunic,BIH,DF,1,0,0,0,0,0
324,Khojiakbar Alijonov,UZB,DF,1,1,0,0,0,0
324,Mathew Leckie,AUS,FW,1,1,0,0,0,0
324,Alexander Isak,SWE,FW,1,1,0,0,0,4
324,Aziz Behich,AUS,DF,1,0,0,0,0,0
324,Chris Wood,NZL,FW,1,0,0,0,0,3
324,Alex Baena,ESP,MF,1,0,0,0,0,0
324,Aiden Oneill,AUS,MF,1,5,0,0,0,0
324,Mojmir Chytil,CZE,FW,1,0,0,0,0,0
324,Djibril Sow,SUI,MF,1,1,0,0,0,0
324,Abdulkerim Bardakci,TUR,DF,1,2,0,0,0,0
324,Ayumu Seko,JPN,DF,1,0,0,0,0,0
324,Pedro Miguel,QAT,DF,1,7,0,0,0,0
324,Zidane Iqbal,IRQ,MF,1,1,0,0,0,0
324,Ibrahim Bayesh,IRQ,MF,1,2,0,0,0,0
324,Fares Chaibi,ALG,MF,1,1,0,0,0,1
324,Mohamed Amoura,ALG,FW,1,0,0,0,0,0
324,Ahmed Alaaeldin,QAT,FW,1,1,0,0,0,0
324,Chancel Mbemba,COD,DF,1,2,1,0,0,0
324,Lee Kangin,KOR,MF,1,7,1,0,0,0
324,Ali Alipour,IRN,FW,1,1,0,0,0,0
324,Musab Aljuwayr,KSA,MF,1,1,0,0,0,2
324,Lee Jaesung,KOR,MF,1,4,0,0,0,1
324,Saman Ghoddos,IRN,MF,1,0,0,0,0,1
324,Merchas Doski,IRQ,DF,1,6,0,0,0,0
324,Ritsu Doan,JPN,MF,1,2,0,0,0,0
324,Abdallah Nasib,JOR,DF,1,1,0,0,0,0
324,Abdulaziz Hatem,QAT,MF,1,0,0,0,0,0
324,Odeh Fakhoury,JOR,FW,1,3,0,0,0,0
324,Yang Hyunjun,KOR,MF,1,0,0,0,0,1
324,Aaron Wan Bissaka,COD,DF,1,0,0,0,0,0
324,Ali Nemati,IRN,DF,1,0,0,0,0,1
324,Kevin Pina,CPV,MF,1,1,0,0,0,0
324,Salem Aldawsari,KSA,FW,1,3,1,0,0,1
324,Nawaf Bu Washl,KSA,DF,1,0,0,0,0,0
324,Ayoub Aloui,QAT,DF,1,0,0,0,0,0
324,Ali Azaizeh,JOR,FW,1,0,0,0,0,0
324,Nathanael Mbuku,COD,MF,1,2,0,0,0,0
324,Deroy Duarte,CPV,MF,1,0,0,0,0,0
324,Yazan Alarab,JOR,DF,1,0,0,0,0,0
324,Ao Tanaka,JPN,MF,1,0,0,0,0,0
324,Shahriyar Moghanloo,IRN,FW,1,1,0,0,0,1
324,Mohamed Kanno,KSA,MF,1,0,1,0,0,0
324,Takefusa Kubo,JPN,MF,1,1,0,0,0,0
324,Ramy Bensebaini,ALG,DF,1,4,0,0,0,0
324,Hassan Alhaydos,QAT,FW,1,1,0,0,0,0
324,Kou Itakura,JPN,DF,1,0,0,0,0,0
324,Simon Banza,COD,FW,1,0,0,0,0,0
324,Cho Guesung,KOR,FW,1,0,1,0,0,0
324,Husam Abudahab,JOR,DF,1,1,1,0,0,0
324,Mahmoud Abunada,QAT,GK,1,1,1,0,0,0
324,Ahmed Alganehi,QAT,MF,1,0,0,0,0,0
324,Hwang Inbeom,KOR,MF,1,1,0,0,0,0
324,Ali Alhamadi,IRQ,FW,1,3,0,0,0,0
324,Hwang Heechan,KOR,MF,1,2,0,0,0,0
324,Noor Alrawabdeh,JOR,MF,1,0,0,0,0,0
324,Amine Gouiri,ALG,FW,1,1,0,0,0,0
324,Saleem Obaid,JOR,DF,1,0,0,0,0,0
324,Yusuf Abdurisag,QAT,FW,1,2,0,0,0,0
324,Feras Albrikan,KSA,FW,1,2,0,0,0,0
324,Seol Youngwoo,KOR,DF,1,2,0,0,0,4
324,Hussein Ali,IRQ,DF,1,0,0,0,0,1
324,Abdulelah Alamri,KSA,DF,1,0,1,0,0,0
324,Mohannad Abutaha,JOR,MF,1,2,0,0,0,0
324,Paik Seungho,KOR,MF,1,2,1,0,0,0
324,Jovo Lukic,BIH,FW,1,0,1,0,0,0
324,Sherel Floranus,CUW,DF,1,0,0,0,0,0
324,Deveron Fonville,CUW,DF,1,3,0,0,0,0
324,Manuel Ugarte,URU,MF,1,0,0,0,0,0
324,Raphinha,BRA,FW,1,2,0,0,0,2
324,Mathias Olivera,URU,DF,1,0,1,0,0,0
324,Federico Valverde,URU,MF,1,0,0,0,0,0
324,Malik Tillman,USA,MF,1,7,0,0,0,0
324,Alejandro Romero Gamarra,PAR,FW,1,1,0,0,0,0
324,Dominique Simon,HAI,MF,1,1,0,0,0,0
324,Pedro Vite,ECU,MF,1,2,0,0,0,0
324,Lionel Messi,ARG,FW,1,5,0,0,0,2
324,Mateo Chavez,MEX,DF,1,1,0,0,0,0
324,Piero Hincapie,ECU,DF,1,3,0,0,0,0
324,Jhon Cordoba,COL,FW,1,1,0,0,0,1
324,Nico Paz,ARG,FW,1,0,0,0,0,0
324,Amir Murillo,PAN,DF,1,4,0,0,0,0
324,Jose Canale,PAR,DF,1,0,0,0,0,0
324,Alex Sandro,BRA,DF,1,0,0,0,0,0
324,Gonzalo Plata,ECU,FW,1,1,0,0,0,0
324,Gilberto Mora,MEX,MF,1,1,0,0,0,0
324,Antonee Robinson,USA,DF,1,0,1,0,0,0
324,Jordy Alcivar,ECU,MF,1,0,1,0,0,0
324,Antonio Sanabria,PAR,FW,1,1,0,0,0,0
324,Christian Pulisic,USA,FW,1,1,0,0,0,0
324,Giovanni Reyna,USA,MF,1,1,0,0,0,0
324,Alex Freeman,USA,DF,1,1,0,0,0,0
324,Nilson Angulo,ECU,FW,1,1,0,0,0,0
324,Armando Gonzalez,MEX,FW,1,0,0,0,0,0
324,Obed Vargas,MEX,MF,1,0,0,0,0,0
324,Darwin Nunez,URU,FW,1,0,0,0,0,0
324,Leandro Paredes,ARG,MF,1,0,1,0,0,0
324,Cecilio Waterman,PAN,FW,1,1,0,0,0,0
