Posição,Jogador,País,Posição Campo,Gols,Assistências,Minutos jogados
88,Mohammad Mohebbi,IRN,MF,1,0,175
89,Kevin Pina,CPV,MF,1,0,177
90,Nuno Mendes,POR,DF,1,0,178
91,Joao Neves,POR,MF,1,0,181
92,Martin Baturina,CRO,MF,1,0,181
93,Livano Comenencia,CUW,MF,1,0,187
94,Virgil Van Dijk,NED,DF,1,0,199
95,Omar Rekik,TUN,DF,1,0,200
96,Wilson Isidor,HAI,FW,1,0,201
97,Yoane Wissa,COD,FW,1,0,201
98,Teboho Mokoena,RSA,MF,1,0,202
99,Kerim Alajbegovic,BIH,FW,1,0,202
100,Ali Olwan,JOR,FW,1,0,202
101,Michal Sadilek,CZE,MF,1,0,204
102,Finn Surman,NZL,DF,1,0,205
103,Franck Kessie,CIV,MF,1,0,206
104,Caleb Yirenkyi,GHA,MF,1,0,209
105,Nizar Alrashdan,JOR,MF,1,0,209
106,John Mcginn,SCO,MF,1,0,277
107,Ladislav Krejci,CZE,DF,1,0,301
108,Granit Xhaka,SUI,MF,1,0,303
109,Michael Olise,FRA,FW,0,3,176
110,Bruno Guimaraes,BRA,MF,0,3,273
111,Ryan Gravenberch,NED,MF,0,2,184
112,Martin Odegaard,NOR,MF,0,2,190
113,Joshua Kimmich,GER,DF,0,2,191
114,Denzel Dumfries,NED,DF,0,2,199
115,Julio Enciso,PAR,FW,0,2,204
116,Chris Wood,NZL,FW,0,2,205
117,Brahim Diaz,MAR,FW,0,2,232
118,Roberto Alvarado,MEX,FW,0,2,285
119,Iliman Ndiaye,SEN,FW,0,1,17
120,Cucho Hernandez,COL,FW,0,1,20
121,Koki Ogawa,JPN,FW,0,1,21
122,Dennis Hadzikadunic,BIH,DF,0,1,33
123,Tshepang Moremi,RSA,FW,0,1,34
124,Nadiem Amiri,GER,MF,0,1,37
125,Juan Quintero,COL,MF,0,1,38
126,Brandon Thomas Asante,GHA,FW,0,1,43
127,Memphis Depay,NED,FW,0,1,50
128,Christian Pulisic,USA,FW,0,1,50
129,Bukayo Saka,ENG,FW,0,1,55
130,Patrick Berg,NOR,MF,0,1,72
131,Lucas Bergvall,SWE,MF,0,1,72
132,Nico Gonzalez,ARG,MF,0,1,73
133,Takefusa Kubo,JPN,MF,0,1,77
134,Dani Olmo,ESP,FW,0,1,80
135,Kou Itakura,JPN,DF,0,1,100
136,Riyad Mahrez,ALG,FW,0,1,112
137,Petar Sucic,CRO,MF,0,1,125
138,Pedro Neto,POR,FW,0,1,127
139,Rayan,BRA,FW,0,1,149
140,Joao Cancelo,POR,DF,0,1,151
141,Alexandr Sojka,CZE,MF,0,1,155
142,Arthur Masuaku,COD,DF,0,1,156
143,Xaver Schlager,AUT,MF,0,1,166
144,Paul Okon Engstler,AUS,MF,0,1,171
145,Tim Payne,NZL,DF,0,1,172
146,Amir Alammari,IRQ,MF,0,1,174
147,Erik Lira,MEX,MF,0,1,179
148,Declan Rice,ENG,MF,0,1,180
149,Mousa Altamari,JOR,FW,0,1,180
150,Elliot Anderson,ENG,MF,0,1,181
151,David Moller Wolfe,NOR,DF,0,1,182
152,Gustavo Puerta,COL,DF,0,1,185
153,Jean Kevin Duverne,HAI,DF,0,1,186
154,Rodrigo De Paul,ARG,MF,0,1,187
155,Facundo Medina,ARG,DF,0,1,187
156,Wilfried Singo,CIV,DF,0,1,190
157,Malik Tillman,USA,MF,0,1,192
158,Nicolas Jackson,SEN,FW,0,1,193
159,Kaishu Sano,JPN,MF,0,1,199
160,Ivan Perisic,CRO,FW,0,1,200
160,Josip Stanisic,CRO,DF,0,1,200
162,Jorge Sanchez,MEX,DF,0,1,200
163,Hannibal Mejbri,TUN,MF,0,1,200
164,Ivan Basic,BIH,MF,0,1,200
165,Adrien Rabiot,FRA,MF,0,1,201
166,Bruno Fernandes,POR,MF,0,1,201
167,Aymeric Laporte,ESP,DF,0,1,202
168,Mohamed Hany,EGY,DF,0,1,203
169,Florian Wirtz,GER,MF,0,1,204
170,Lucas Paqueta,BRA,MF,0,1,206
171,Noor Alrawabdeh,JOR,MF,0,1,209
172,Sadio Mane,SEN,FW,0,1,210
173,Edmilson Junior,QAT,FW,0,1,228
174,Sead Kolasinac,BIH,DF,0,1,289
175,Lee Kangin,KOR,MF,0,1,300
176,Vladimir Coufal,CZE,DF,0,1,301
177,Chadi Riad,MAR,DF,0,1,308
178,Aaron Tshibola,COD,MF,0,0,0
178,Brenden Aaronson,USA,FW,0,0,0
178,Thelo Aasgaard,NOR,MF,0,0,0
178,Achref Abada,ALG,DF,0,0,0
178,Mahmoud Saber,EGY,MF,0,0,0
178,David Affengruber,AUT,DF,0,0,0
178,Aiman Yahya,KSA,FW,0,0,0
178,Mohamed Alaa,EGY,GK,0,0,0
178,Samet Akaydin,TUR,DF,0,0,0
178,Ahmed Maknazi,IRQ,DF,0,0,0
178,Munaf Younus,IRQ,DF,0,0,0
178,Nawaf Alaqidi,KSA,GK,0,0,0
178,Abdallah Alfakhori,JOR,GK,0,0,0
178,Ziyad Aljohani,KSA,MF,0,0,0
178,Ahmed Alkassar,KSA,GK,0,0,0
178,Saleh Alshehri,KSA,FW,0,0,0
178,Nabil Donga,EGY,MF,0,0,0
178,Aurele Amenda,SUI,DF,0,0,0
178,Joseph Anang,GHA,GK,0,0,0
178,Ronald Araujo,URU,DF,0,0,0
178,Jeremy Arevalo,ECU,FW,0,0,0
178,Max Arfsten,USA,DF,0,0,0
178,Santiago Arias,COL,DF,0,0,0
178,Adam Arous,TUN,DF,0,0,0
178,Khalil Ayari,TUN,MF,0,0,0
178,Oguz Aydin,TUR,FW,0,0,0
178,Kaan Ayhan,TUR,MF,0,0,0
178,Christopher Bonsu Baah,GHA,FW,0,0,0
178,Anas Badawi,JOR,DF,0,0,0
178,Bae Junho,KOR,MF,0,0,0
178,Fabian Balbuena,PAR,DF,0,0,0
178,Nour Baniateyah,JOR,GK,0,0,0
178,Kosta Barbarouses,NZL,FW,0,0,0
178,Valentin Barco,ARG,MF,0,0,0
178,Meshaal Barsham,QAT,GK,0,0,0
178,Dylan Batubinsika,COD,DF,0,0,0
178,Oliver Baumann,GER,GK,0,0,0
178,Altay Bayindir,TUR,GK,0,0,0
178,Lachlan Bayliss,NZL,MF,0,0,0
178,Maximilian Beier,GER,FW,0,0,0
178,Youssef Belammari,MAR,DF,0,0,0
178,Sabri Ben Hessen,TUN,GK,0,0,0
178,Mortadha Ben Ouanes,TUN,DF,0,0,0
178,Oussama Benbot,ALG,GK,0,0,0
178,Goncalo Inacio,POR,DF,0,0,0
178,Fredrik Andre Bjorkan,NOR,DF,0,0,0
178,Augustine Boakye,GHA,MF,0,0,0
178,Tyrick Bodak,CUW,GK,0,0,0
178,Theo Bongonda,COD,MF,0,0,0
178,Chris Brady,USA,GK,0,0,0
178,Marcio Rosa,CPV,GK,0,0,0
178,Santiago Bueno,URU,DF,0,0,0
178,Dan Burn,ENG,DF,0,0,0
178,Gustavo Caballero,PAR,MF,0,0,0
178,Duje Caleta Car,CRO,DF,0,0,0
178,Wagner Pina,CPV,DF,0,0,0
178,Jorge Carrascal,COL,MF,0,0,0
178,Adalberto Carrasquilla,PAN,MF,0,0,0
178,Denil Castillo,ECU,MF,0,0,0
178,Sipho Chaine,RSA,GK,0,0,0
178,Trevoh Chalobah,ENG,DF,0,0,0
178,Samir Chergui,ALG,DF,0,0,0
178,Roozbeh Cheshmi,IRN,MF,0,0,0
178,Raed Chikhaoui,TUN,DF,0,0,0
178,Cho Wije,KOR,DF,0,0,0
178,Brian Cipenga,COD,FW,0,0,0
178,Eray Coemert,SUI,DF,0,0,0
178,Logan Costa,CPV,DF,0,0,0
178,Bradley Cross,RSA,DF,0,0,0
178,Diego Moreira,BEL,MF,0,0,0
178,Ruben Neves,POR,MF,0,0,0
178,Diogo Dalot,POR,DF,0,0,0
178,Rui Silva,POR,GK,0,0,0
178,Dennis Dargahi,IRN,FW,0,0,0
178,Alphonso Davies,CAN,DF,0,0,0
178,Samu Costa,POR,DF,0,0,0
178,Giorgian De Arrascaeta,URU,MF,0,0,0
178,Marten De Roon,NED,MF,0,0,0
178,Koni De Winter,BEL,DF,0,0,0
178,Zeno Debast,BEL,DF,0,0,0
178,Milos Degenek,AUS,DF,0,0,0
178,Cameron Devlin,AUS,MF,0,0,0
178,Oumar Diakite,CIV,FW,0,0,0
178,Assane Diao,SEN,FW,0,0,0
178,Ousmane Diomande,CIV,DF,0,0,0
178,Yehvann Diouf,SEN,GK,0,0,0
178,Willer Ditta,COL,DF,0,0,0
178,Trevor Doornbusch,CUW,GK,0,0,0
178,Stopira,CPV,DF,0,0,0
178,Josue Duverger,HAI,GK,0,0,0
178,Hjalmar Ekdal,SWE,DF,0,0,0
178,Munir El Kajoui,MAR,GK,0,0,0
178,Zakaria El Ouahdi,MAR,DF,0,0,0
178,Tarek Alaa,EGY,DF,0,0,0
178,Meschack Elia,COD,FW,0,0,0
178,Rayan Elloumi,TUN,FW,0,0,0
178,Matthieu Epolo,COD,GK,0,0,0
178,Botirali Ergashev,UZB,GK,0,0,0
178,Martin Erlic,CRO,DF,0,0,0
178,Fidel Escobar,PAN,DF,0,0,0
178,Umar Eshmurodov,UZB,DF,0,0,0
178,Henrik Falchener,NOR,DF,0,0,0
178,Edgardo Farina,PAN,DF,0,0,0
178,Timothy Fayulu,COD,GK,0,0,0
178,Kevin Felida,CUW,MF,0,0,0
178,Gatito Fernandez,PAR,GK,0,0,0
178,Mark Flekken,NED,GK,0,0,0
178,Tyler Fletcher,SCO,MF,0,0,0
178,Toni Fruk,CRO,MF,0,0,0
178,Goncalo Guedes,POR,FW,0,0,0
178,Eric Garcia,ESP,DF,0,0,0
178,Joan Garcia,ESP,GK,0,0,0
178,Lutsharel Geertruida,NED,DF,0,0,0
178,Fares Ghedjemis,ALG,FW,0,0,0
178,Mohammad Ghorbani,IRN,MF,0,0,0
178,Jose Maria Gimenez,URU,DF,0,0,0
178,Owen Goodman,CAN,GK,0,0,0
178,Craig Gordon,SCO,GK,0,0,0
178,Ricardo Goss,RSA,GK,0,0,0
178,Florian Grillitsch,AUT,MF,0,0,0
178,Alex Grimaldo,ESP,DF,0,0,0
178,Pascal Gross,GER,MF,0,0,0
178,Parfait Guiagon,CIV,MF,0,0,0
178,Mert Gunok,TUR,GK,0,0,0
178,Jorge Gutierrez,PAN,DF,0,0,0
178,Frans Putros,IRQ,DF,0,0,0
178,Rajaei Ayed,JOR,MF,0,0,0
178,Salah Zakaria,QAT,GK,0,0,0
178,Haissem Hassan,EGY,FW,0,0,0
178,Jorrel Hato,NED,DF,0,0,0
178,Jens Petter Hauge,NOR,MF,0,0,0
178,Jordan Henderson,ENG,MF,0,0,0
178,Dean Henderson,ENG,GK,0,0,0
178,Lucas Hernandez,FRA,DF,0,0,0
178,Lucas Herrington,AUS,DF,0,0,0
178,George Hirst,SCO,FW,0,0,0
178,Lukas Hornicek,CZE,GK,0,0,0
178,Hossein Hosseini,IRN,GK,0,0,0
178,Ajdin Hrustic,AUS,FW,0,0,0
178,Dominic Hyam,SCO,DF,0,0,0
178,Mahdy Soliman,EGY,GK,0,0,0
178,Borja Iglesias,ESP,FW,0,0,0
178,Danial Iri,IRN,DF,0,0,0
178,Jamshid Iskanderov,UZB,MF,0,0,0
178,Paul Izzo,AUS,GK,0,0,0
178,Kristijan Jakic,CRO,DF,0,0,0
178,Amer Jamous,JOR,MF,0,0,0
178,Tahsin Mohammed,QAT,FW,0,0,0
178,Jo Hyeonwoo,KOR,GK,0,0,0
178,Viktor Johansson,SWE,GK,0,0,0
178,Herman Johansson,SWE,DF,0,0,0
178,Alfie Jones,CAN,DF,0,0,0
178,David Jurasek,CZE,DF,0,0,0
178,Mladen Jurkas,BIH,GK,0,0,0
178,Ozan Kabak,TUR,DF,0,0,0
178,Samukele Kabini,RSA,DF,0,0,0
178,Irfan Can Kahveci,TUR,FW,0,0,0
178,Gael Kakuta,COD,FW,0,0,0
178,Fiston Mayele,COD,FW,0,0,0
178,Ngolo Kante,FRA,MF,0,0,0
178,Marvin Keller,SUI,GK,0,0,0
178,Liam Kelly,SCO,GK,0,0,0
178,Kim Taehyeon,KOR,DF,0,0,0
178,Justin Kluivert,NED,MF,0,0,0
178,Ibrahima Konate,FRA,DF,0,0,0
178,Mohamed Kone,CIV,GK,0,0,0
178,Dominik Kotarski,CRO,GK,0,0,0
178,Jan Kuchta,CZE,FW,0,0,0
178,Brandley Kuwas,CUW,FW,0,0,0
178,Maxence Lacroix,FRA,DF,0,0,0
178,Markhus Lacroix,HAI,DF,0,0,0
178,Alban Lafont,CIV,GK,0,0,0
178,Senne Lammens,BEL,GK,0,0,0
178,Sondre Langas,NOR,DF,0,0,0
178,Jorgen Strand Larsen,NOR,FW,0,0,0
178,Lee Donggyeong,KOR,MF,0,0,0
178,Dejan Ljubicic,AUT,MF,0,0,0
178,Giovani Lo Celso,ARG,MF,0,0,0
178,Jose Manuel Lopez,ARG,FW,0,0,0
178,Derrick Luckassen,GHA,DF,0,0,0
178,Awer Mabil,AUS,FW,0,0,0
178,Deiver Machado,COL,DF,0,0,0
178,Shuto Machino,JPN,FW,0,0,0
178,Hassan Kadish,KSA,DF,0,0,0
178,Kobbie Mainoo,ENG,MF,0,0,0
178,Ali Majrashi,KSA,DF,0,0,0
178,Olwethu Makhanya,RSA,DF,0,0,0
178,Jose Sa,POR,GK,0,0,0
178,Sultan Mandash,KSA,FW,0,0,0
178,Arjany Martha,CUW,MF,0,0,0
178,Emiliano Martinez,URU,MF,0,0,0
178,Melvin Mastil,ALG,GK,0,0,0
178,Hazem Mastouri,TUN,FW,0,0,0
178,Jean Philippe Mateta,FRA,FW,0,0,0
178,Thabang Matuludi,RSA,DF,0,0,0
178,Mark Mckenzie,USA,DF,0,0,0
178,Yaimar Medina,ECU,DF,0,0,0
178,Luis Mejia,PAN,GK,0,0,0
178,Santiago Mele,URU,GK,0,0,0
178,Antoine Mendy,SEN,DF,0,0,0
178,Garven Metusala,HAI,DF,0,0,0
178,Roderick Miller,PAN,DF,0,0,0
178,Yerry Mina,COL,DF,0,0,0
178,Alvaro Montero,COL,GK,0,0,0
178,Nikola Moro,CRO,MF,0,0,0
178,Nihad Mujakic,BIH,DF,0,0,0
178,Victor Munoz,ESP,FW,0,0,0
178,Mohammed Muntari,QAT,FW,0,0,0
178,Juan Musso,ARG,GK,0,0,0
178,Ali Yousif,IRQ,FW,0,0,0
178,Khulumani Ndamane,RSA,DF,0,0,0
178,Cherif Ndiaye,SEN,FW,0,0,0
178,Bara Sapoko Ndiaye,SEN,MF,0,0,0
178,Evan Ndicka,CIV,DF,0,0,0
178,Moutaz Neffati,TUN,DF,0,0,0
178,Jayden Nelson,CAN,FW,0,0,0
178,Payam Niazmand,IRN,GK,0,0,0
178,Gustaf Nilsson,SWE,FW,0,0,0
178,Tyrese Noslin,CUW,FW,0,0,0
178,Alexander Nuebel,GER,GK,0,0,0
178,Matheus Nunes,POR,MF,0,0,0
178,Braian Ojeda,PAR,MF,0,0,0
178,Noah Okafor,SUI,FW,0,0,0
178,Gaston Olveira,PAR,GK,0,0,0
178,Christopher Operi,CIV,DF,0,0,0
178,Keisuke Osako,JPN,GK,0,0,0
178,David Ospina,COL,GK,0,0,0
178,Assan Ouedraogo,GER,MF,0,0,0
178,Kendry Paez,ECU,MF,0,0,0
178,Exequiel Palacios,ARG,MF,0,0,0
178,Ivor Pandur,CRO,GK,0,0,0
178,Wilguens Paugain,HAI,DF,0,0,0
178,Alex Paulsen,NZL,GK,0,0,0
178,Facundo Pellistri,URU,FW,0,0,0
178,Mike Penders,BEL,GK,0,0,0
178,Patrick Pentz,AUT,GK,0,0,0
178,Leo Pereira,BRA,DF,0,0,0
178,Alexandre Pierre,HAI,GK,0,0,0
178,Woodensky Pierre,HAI,MF,0,0,0
178,Nando Pijnaker,NZL,DF,0,0,0
178,Joaquin Piquerez,URU,MF,0,0,0
178,Juan Portilla,COL,MF,0,0,0
178,Marc Pubill,ESP,DF,0,0,0
178,Jarell Quansah,ENG,DF,0,0,0
178,Alberto Quintero,PAN,MF,0,0,0
178,Fahad Talib,IRQ,GK,0,0,0
178,Moises Ramirez,ECU,GK,0,0,0
178,David Raya,ESP,GK,0,0,0
178,Amirmohammad Razaghinia,IRN,MF,0,0,0
178,Robin Risser,FRA,GK,0,0,0
178,Miles Robinson,USA,DF,0,0,0
178,Sergio Rochet,URU,GK,0,0,0
178,Robin Roefs,NED,GK,0,0,0
178,Logan Rogerson,NZL,FW,0,0,0
178,Cristian Roldan,USA,MF,0,0,0
178,Alex Rufer,NZL,MF,0,0,0
178,Geronimo Rulli,ARG,GK,0,0,0
178,Mathew Ryan,AUS,GK,0,0,0
178,Ibrahim Sadeh,JOR,MF,0,0,0
178,Carl Sainte,HAI,MF,0,0,0
178,Brice Samba,FRA,GK,0,0,0
178,Shurandy Sambo,CUW,DF,0,0,0
178,Cesar Samudio,PAN,GK,0,0,0
178,Ederson,BRA,GK,0,0,0
178,Mamadou Sarr,SEN,DF,0,0,0
178,Alessandro Schoepf,AUT,MF,0,0,0
178,Abdoulaye Seck,SEN,DF,0,0,0
178,Alidu Seidu,GHA,DF,0,0,0
178,Egil Selvik,NOR,GK,0,0,0
178,Ken Sema,SWE,MF,0,0,0
178,Marcos Senesi,ARG,DF,0,0,0
178,Jean Michael Seri,CIV,MF,0,0,0
178,Joaquin Seys,BEL,DF,0,0,0
178,Bremer,BRA,DF,0,0,0
178,Giuliano Simeone,ARG,FW,0,0,0
178,Eric Smith,SWE,DF,0,0,0
178,Hugo Sochurek,CZE,MF,0,0,0
178,Song Bumkeun,KOR,GK,0,0,0
178,John Souttar,SCO,DF,0,0,0
178,Caglar Soyuncu,TUR,DF,0,0,0
178,Kelvin Pires,CPV,DF,0,0,0
178,Dayne St Clair,CAN,GK,0,0,0
178,Jindrich Stanek,CZE,GK,0,0,0
178,Carl Starfelt,SWE,DF,0,0,0
178,Angelo Stiller,GER,MF,0,0,0
178,Abdul Mumin,GHA,DF,0,0,0
178,Michael Svoboda,AUT,DF,0,0,0
178,Haris Tabakovic,BIH,FW,0,0,0
178,Ahmed Reda Tagnaouti,MAR,GK,0,0,0
178,Mohammad Abughoush,JOR,MF,0,0,0
178,Sander Tangvik,NOR,GK,0,0,0
178,Keeto Thermoncy,HAI,DF,0,0,0
178,Malick Thiaw,GER,DF,0,0,0
178,Jehad Thikri,KSA,DF,0,0,0
178,Morten Thorsby,NOR,MF,0,0,0
178,Yassine Titraoui,ALG,MF,0,0,0
178,Ivan Toney,ENG,FW,0,0,0
178,Felix Torres,ECU,DF,0,0,0
178,Mohamed Amine Tougai,ALG,DF,0,0,0
178,James Trafford,ENG,GK,0,0,0
178,Kai Trewin,AUS,DF,0,0,0
178,Matt Turner,USA,GK,0,0,0
178,Avazbek Ulmasaliyev,UZB,DF,0,0,0
178,Anthony Valencia,ECU,MF,0,0,0
178,Gonzalo Valle,ECU,GK,0,0,0
178,Ben Waine,NZL,FW,0,0,0
178,Joel Waterman,CAN,DF,0,0,0
178,Ollie Watkins,ENG,FW,0,0,0
178,Wout Weghorst,NED,FW,0,0,0
178,Jacob Widell Zetterstrom,SWE,GK,0,0,0
178,Mats Wieffer,NED,DF,0,0,0
178,Florian Wiegele,AUT,GK,0,0,0
178,Kevin Yakob,IRQ,MF,0,0,0
178,Axel Witsel,BEL,MF,0,0,0
178,Nick Woltemade,GER,FW,0,0,0
178,Michael Woud,NZL,GK,0,0,0
178,Cesar Yanis,PAN,MF,0,0,0
178,Warren Zaire Emery,FRA,MF,0,0,0
178,Rodrigo Zalazar,URU,MF,0,0,0
178,Alex Zendejas,USA,FW,0,0,0
178,Martin Zlomislic,BIH,GK,0,0,0
178,Martin Zubimendi,ESP,MF,0,0,0
500,Baba Rahman,GHA,DF,0,0,1
501,Mohamed Abdelmoneim,EGY,DF,0,0,1
502,Marcus Thuram,FRA,FW,0,0,2
503,Haji Wright,USA,FW,0,0,2
504,Sherzod Esanov,UZB,MF,0,0,3
505,Jonathan Osorio,CAN,MF,0,0,5
506,Noa Lang,NED,FW,0,0,5
507,Tomas Rodriguez,PAN,FW,0,0,5
508,Eric Davis,PAN,DF,0,0,5
509,Mohammad Abuzraiq,JOR,FW,0,0,6
510,Daniel Svensson,SWE,DF,0,0,6
511,Jordy Caicedo,ECU,FW,0,0,6
512,Jose Canale,PAR,DF,0,0,7
513,Ibrahim Adel,EGY,FW,0,0,7
514,Karim Hafez,EGY,DF,0,0,7
515,Ross Stewart,SCO,FW,0,0,7
516,Kevin Castano,COL,MF,0,0,7
517,Andres Gomez,COL,FW,0,0,7
518,Gabriel Avalos,PAR,FW,0,0,8
519,Rodrigo Aguirre,URU,FW,0,0,8
520,Khalid Alghannam,KSA,FW,0,0,8
521,Miro Muheim,SUI,DF,0,0,9
522,Ardon Jashari,SUI,MF,0,0,9
523,Kojo Peprah Oppong,GHA,DF,0,0,9
524,Malo Gusto,FRA,DF,0,0,9
525,Maghnes Akliouche,FRA,MF,0,0,10
526,Gedeon Kalulu,COD,DF,0,0,10
527,Anibal Godoy,PAN,MF,0,0,11
528,Goncalo Ramos,POR,FW,0,0,11
529,Keisuke Goto,JPN,FW,0,0,11
530,Godfried Roemeratoe,CUW,MF,0,0,12
531,Christian Fassnacht,SUI,FW,0,0,12
532,Amir Hadziahmetovic,BIH,MF,0,0,12
533,Zineddine Belaid,ALG,DF,0,0,12
534,Mojmir Chytil,CZE,FW,0,0,12
535,Cesar Huerta,MEX,FW,0,0,12
536,Jaouen Hadjam,ALG,DF,0,0,12
537,Aziz Behich,AUS,DF,0,0,12
538,Kento Shiogai,JPN,FW,0,0,12
539,Waldemar Anton,GER,DF,0,0,12
540,Lucas Mendes,QAT,DF,0,0,13
541,Mohammad Abuhasheesh,JOR,DF,0,0,13
542,Kamogelo Sebelebele,RSA,FW,0,0,13
543,Yassin Fortune,HAI,FW,0,0,13
544,Adil Boulbina,ALG,FW,0,0,13
545,Hossam Abdelmaguid,EGY,DF,0,0,14
546,Derrick Etienne,HAI,FW,0,0,14
547,Nathanael Mbuku,COD,MF,0,0,14
548,Ederson Silva,BRA,MF,0,0,14
549,Francis De Vries,NZL,DF,0,0,15
550,Alex Sandro,BRA,DF,0,0,15
551,Nathan Ake,NED,DF,0,0,15
552,Mohammad Aldaoud,JOR,MF,0,0,15
553,Salih Ozcan,TUR,MF,0,0,15
554,Nico Paz,ARG,FW,0,0,16
555,Nicolas Tagliafico,ARG,DF,0,0,16
556,Leandro Paredes,ARG,MF,0,0,16
557,Niko Sigur,CAN,DF,0,0,16
558,Bamba Dieng,SEN,FW,0,0,16
559,Nawaf Bu Washl,KSA,DF,0,0,17
560,Taha Ali,SWE,FW,0,0,17
561,Ayumu Seko,JPN,DF,0,0,17
562,Yuito Suzuki,JPN,MF,0,0,17
563,Callan Elliot,NZL,DF,0,0,18
564,Auston Trusty,USA,DF,0,0,18
565,Nikola Vlasic,CRO,MF,0,0,18
566,Joe Scally,USA,DF,0,0,18
567,Alexandro Maidana,PAR,DF,0,0,18
568,Matias Fernandez Pardo,BEL,FW,0,0,18
569,Alejandro Romero Gamarra,PAR,FW,0,0,18
570,Guillermo Ochoa,MEX,GK,0,0,18
571,Alexis Vega,MEX,FW,0,0,18
572,Zeki Amdouni,SUI,FW,0,0,18
573,Yannick Semedo,CPV,MF,0,0,19
574,Themba Zwane,RSA,MF,0,0,19
575,Tyler Bindon,NZL,DF,0,0,19
576,David Zima,CZE,DF,0,0,19
577,Ramon Sosa,PAR,MF,0,0,19
