Posição,Jogador,País,Posição Campo,Pedidos de bola,Pedidos atrás,Pedidos entre,Pedidos na frente,Pedidos dentro da forma coletiva,Pedidos fora da forma coletiva,Recepções atrás,Recepções entre as linhas defensiva e de meio-campo,Recepções sob pressão,Participações do jogador
138,Orkun Kokcu,TUR,MF,79,14,35,30,55,24,1,17,25,120
142,Marcel Sabitzer,AUT,MF,78,29,45,4,31,47,4,45,38,197
142,Johan Mojica,COL,DF,78,15,33,30,5,73,1,17,45,226
142,Aymen Hussein,IRQ,FW,78,47,28,3,59,19,1,20,18,43
142,Salem Aldawsari,KSA,FW,78,44,28,6,42,36,1,37,36,137
146,Ali Alhamadi,IRQ,FW,77,39,36,2,61,16,5,18,27,75
146,Ivan Basic,BIH,MF,77,2,22,53,58,19,0,7,37,234
148,Ryan Mendes,CPV,FW,76,23,45,8,30,46,0,13,28,76
148,Zidane Iqbal,IRQ,MF,76,0,43,33,62,14,0,4,18,196
148,Michael Olise,FRA,FW,76,14,45,17,48,28,2,27,54,220
151,Mohamed Hany,EGY,DF,75,19,38,18,12,63,3,23,43,231
151,Chadi Riad,MAR,DF,75,0,3,72,46,29,0,2,19,357
153,Tahith Chong,CUW,MF,74,22,48,4,48,26,1,25,53,111
153,Ben Gannon Doak,SCO,FW,74,39,24,11,21,53,5,30,44,142
153,Joao Felix,POR,FW,74,25,31,18,51,23,2,17,31,64
156,Zaid Ismael,IRQ,MF,73,2,28,43,60,13,0,7,32,150
156,Danley Jean Jacques,HAI,MF,73,2,27,44,36,37,0,11,30,243
156,Yasin Ayari,SWE,MF,73,9,34,30,53,20,2,19,53,141
156,Antonee Robinson,USA,DF,73,23,22,28,9,64,4,27,39,247
156,Federico Valverde,URU,MF,73,22,27,24,34,39,1,31,50,244
161,Nahuel Molina,ARG,DF,72,23,32,17,16,56,0,14,43,139
161,Johan Manzambi,SUI,MF,72,27,37,8,49,23,5,23,41,110
161,Abbosbek Fayzullaev,UZB,MF,72,27,38,7,47,25,0,22,26,76
161,Akmal Mozgovoy,UZB,MF,72,7,45,20,51,21,1,11,29,115
161,Baris Alper Yilmaz,TUR,FW,72,45,23,4,26,46,6,28,37,86
161,Marko Stamenic,NZL,MF,72,4,23,45,52,20,0,9,35,236
161,Ali Abdi,TUN,DF,72,36,33,3,16,56,4,12,31,101
168,Cyle Larin,CAN,FW,71,41,19,11,46,25,1,23,30,63
168,Merchas Doski,IRQ,DF,71,12,32,27,17,54,0,8,43,225
168,Desire Doue,FRA,FW,71,22,31,18,24,47,1,15,12,114
168,Yunus Akgun,TUR,FW,71,35,29,7,36,35,0,24,24,117
168,Kerem Akturkoglu,TUR,FW,71,57,12,2,66,5,2,18,20,45
168,Carlos Harvey,PAN,DF,71,7,30,34,48,23,1,18,36,202
168,John Yeboah,ECU,FW,71,25,36,10,24,47,1,38,61,165
168,Josue Casimir,HAI,FW,71,39,29,3,35,36,2,20,46,121
176,Ibrahim Bayesh,IRQ,MF,70,36,30,4,31,39,2,17,26,92
176,Lee Gihyuk,KOR,MF,70,0,7,63,21,49,0,2,71,500
176,Tajon Buchanan,CAN,FW,70,40,25,5,14,56,9,56,62,171
176,Viktor Gyokeres,SWE,FW,70,44,25,1,43,27,8,47,37,113
176,Ryan Gravenberch,NED,MF,70,18,37,15,51,19,2,16,31,127
176,Thomas Meunier,BEL,DF,70,27,20,23,20,50,4,19,30,188
182,Leroy Sane,GER,MF,69,30,32,7,21,48,2,43,53,194
182,Martin Baturina,CRO,MF,69,25,33,11,33,36,2,28,47,133
182,Raul Jimenez,MEX,FW,69,38,31,0,48,21,5,35,39,96
182,James Rodriguez,COL,MF,69,10,33,26,34,35,2,21,23,226
182,Esmir Bajraktarevic,BIH,FW,69,29,33,7,27,42,4,28,45,128
187,Joe Bell,NZL,MF,68,0,39,29,47,21,0,5,27,225
187,Edmilson Junior,QAT,FW,68,40,25,3,21,47,8,16,38,106
187,Mohammad Mohebbi,IRN,MF,68,35,25,8,25,43,2,24,32,92
187,Jorge Sanchez,MEX,DF,68,22,23,23,16,52,1,14,17,159
187,Jesus Gallardo,MEX,DF,68,14,26,28,9,59,2,21,20,212
187,Cesar Blackman,PAN,DF,68,10,47,11,7,61,1,23,51,172
187,Mohamed Salah,EGY,FW,68,27,36,5,44,24,2,44,45,140
194,Franck Kessie,CIV,MF,67,13,39,15,47,20,0,11,25,197
194,Michal Sadilek,CZE,MF,67,15,26,26,35,32,2,16,36,201
194,Lukas Cerv,CZE,MF,67,2,28,37,54,13,0,4,18,97
194,Alexander Isak,SWE,FW,67,30,35,2,53,14,7,32,43,123
198,Eldor Shomurodov,UZB,FW,66,29,32,5,46,20,0,37,34,101
198,Mikel Oyarzabal,ESP,FW,66,50,13,3,49,17,5,33,35,83
198,Alexandr Sojka,CZE,MF,66,10,36,20,26,40,0,24,44,155
198,Fabian Rieder,SUI,MF,66,26,36,4,42,24,2,19,32,86
198,Iqraam Rayners,RSA,FW,66,48,17,1,42,24,3,24,25,57
198,Yan Diomande,CIV,FW,66,15,44,7,18,48,2,51,66,190
198,Nuno Mendes,POR,DF,66,25,29,12,21,45,7,31,46,308
198,Samuel Moutoussamy,COD,MF,66,2,46,18,52,14,0,10,22,120
198,Lee Jaesung,KOR,MF,66,18,38,10,43,23,4,28,40,137
207,Musab Aljuwayr,KSA,MF,65,15,47,3,36,29,1,19,37,105
207,Oh Hyeongyu,KOR,FW,65,35,27,3,52,13,3,22,26,62
207,Nicolas Pepe,CIV,FW,65,22,38,5,51,14,0,18,26,81
207,Pau Cubarsi,ESP,DF,65,0,0,65,38,27,0,1,34,436
211,Ricardo Rodriguez,SUI,DF,64,30,21,13,10,54,3,23,39,362
211,Thalente Mbatha,RSA,MF,64,10,26,28,46,18,1,8,32,170
211,Amad Diallo,CIV,FW,64,21,33,10,17,47,2,25,27,94
211,Amir Alammari,IRQ,MF,64,4,26,34,43,21,1,5,20,200
211,Paul Wanner,AUT,MF,64,13,28,23,52,12,3,15,38,107
216,Che Adams,SCO,FW,63,34,26,3,56,7,3,9,16,41
216,Ivan Perisic,CRO,FW,63,37,17,9,23,40,8,27,27,159
216,Thapelo Maseko,RSA,FW,63,30,30,3,30,33,1,29,28,98
216,Jesper Karlstrom,SWE,MF,63,2,22,39,41,22,0,4,20,79
216,Benjamin Nygren,SWE,MF,63,15,45,3,40,23,1,11,20,79
216,Enner Valencia,ECU,FW,63,34,24,5,37,26,8,27,26,79
216,Jose Luis Rodriguez,PAN,MF,63,24,33,6,26,37,8,34,33,120
223,Jhon Arias,COL,MF,62,12,30,20,36,26,1,25,41,202
223,Kenan Yildiz,TUR,FW,62,28,18,16,19,43,2,74,109,248
225,Pape Gueye,SEN,MF,61,7,28,26,47,14,1,9,49,179
225,Jassem Gaber,QAT,DF,61,5,41,15,47,14,0,5,18,69
227,Hicham Boudaoui,ALG,MF,60,15,23,22,28,32,1,4,26,160
227,Mousa Altamari,JOR,FW,60,41,17,2,37,23,5,26,36,69
227,Behruzjon Karimov,UZB,DF,60,8,42,10,7,53,1,12,30,125
227,Stefan Posch,AUT,DF,60,20,27,13,12,48,3,8,51,148
227,Alvaro Fidalgo,MEX,MF,60,5,39,16,31,29,0,15,12,104
232,Cristian Martinez,PAN,MF,59,24,26,9,23,36,4,28,18,122
232,Lionel Messi,ARG,FW,59,13,34,12,39,20,1,50,50,207
232,Alex Baena,ESP,MF,59,29,19,11,33,26,5,25,11,101
232,Benjamin Tahirovic,BIH,MF,59,3,39,17,47,12,2,8,39,152
232,Djibril Sow,SUI,MF,59,13,37,9,38,21,0,4,22,75
232,Aaron Wan Bissaka,COD,DF,59,21,28,10,14,45,3,9,30,132
232,Ramy Bensebaini,ALG,DF,59,0,1,58,28,31,0,1,28,367
232,Luka Modric,CRO,MF,59,11,13,35,49,10,1,6,12,218
232,Andy Robertson,SCO,DF,59,17,27,15,8,51,2,24,42,316
232,Sebastian Tounekti,TUN,MF,59,16,41,2,45,14,1,10,13,38
232,Ayoub El Kaabi,MAR,FW,59,45,12,2,39,20,2,10,14,31
243,Mostafa Zico,EGY,MF,58,30,24,4,20,38,3,35,25,125
243,Zeki Celik,TUR,DF,58,22,15,21,12,46,2,6,14,75
243,Dan Ndoye,SUI,FW,58,33,25,0,29,29,7,46,44,128
243,Declan Rice,ENG,MF,58,17,20,21,39,19,2,13,38,199
243,David Moller Wolfe,NOR,DF,58,6,30,22,23,35,1,8,35,140
243,Antonio Nusa,NOR,FW,58,13,40,5,17,41,1,17,29,82
243,Karim Boudiaf,QAT,MF,58,7,34,17,31,27,0,5,19,143
243,Mahmoud Almardi,JOR,FW,58,18,37,3,37,21,3,14,27,83
251,Hwang Heechan,KOR,MF,57,15,28,14,28,29,1,18,29,105
251,Ao Tanaka,JPN,MF,57,2,12,43,51,6,0,3,22,155
251,Gabriel Martinelli,BRA,FW,57,10,27,20,34,23,1,6,13,57
254,Lautaro Martinez,ARG,FW,56,25,24,7,44,12,1,18,21,58
254,Lee Taeseok,KOR,DF,56,32,20,4,18,38,3,14,20,103
254,Francisco Conceicao,POR,FW,56,30,23,3,15,41,5,44,38,130
254,Kenny Mclean,SCO,MF,56,2,24,30,42,14,1,4,21,137
258,Alex Freeman,USA,DF,55,3,17,35,12,43,1,12,45,301
258,Christ Inao Oulai,CIV,MF,55,0,30,25,31,24,0,13,34,136
258,Wilson Isidor,HAI,FW,55,34,18,3,43,12,1,18,22,64
258,Nicolas Raskin,BEL,MF,55,2,14,39,36,19,0,1,13,182
258,Nathan Patterson,SCO,DF,55,10,19,26,10,45,0,10,21,222
258,Nico Oreilly,ENG,DF,55,12,23,20,22,33,1,9,38,128
258,Mehdi Taremi,IRN,FW,55,30,18,7,43,12,2,33,42,124
258,Edo Kayembe,COD,MF,55,6,33,16,35,20,1,15,30,92
266,Odeh Fakhoury,JOR,FW,54,27,24,3,27,27,2,7,13,37
266,Ritsu Doan,JPN,MF,54,27,18,9,24,30,2,23,33,107
266,Connor Metcalfe,AUS,MF,54,15,36,3,39,15,0,19,25,83
266,Aymeric Laporte,ESP,DF,54,4,2,48,27,27,0,2,27,420
266,Ruben Vargas,SUI,FW,54,42,10,2,23,31,5,50,30,159
266,Alexander Sorloth,NOR,FW,54,29,24,1,16,38,2,38,38,103
266,Felix Nmecha,GER,MF,54,19,18,17,37,17,2,22,43,230
266,Sphephelo Sithole,RSA,MF,54,0,24,30,41,13,0,6,23,157
274,Idrissa Gana Gueye,SEN,MF,53,3,20,30,39,14,0,5,60,276
274,Jean Kevin Duverne,HAI,DF,53,5,19,29,10,43,0,6,21,154
274,Lee Hanbeom,KOR,DF,53,6,8,39,3,50,1,10,33,403
274,Ali Olwan,JOR,FW,53,21,28,4,21,32,5,31,29,109
274,Torbjorn Heggem,NOR,DF,53,0,7,46,16,37,0,1,31,250
279,John Mcginn,SCO,MF,52,11,39,2,25,27,2,35,41,161
279,Jeremy Doku,BEL,FW,52,21,22,9,19,33,1,28,32,75
279,Ismaila Sarr,SEN,FW,52,34,18,0,33,19,4,36,49,103
279,Ibrahim Mbaye,SEN,FW,52,17,23,12,12,40,2,14,16,63
279,Ismael Kone,CAN,MF,52,3,24,25,36,16,0,14,38,238
279,Livano Comenencia,CUW,MF,52,4,33,15,34,18,0,9,38,117
279,Douglas Santos,BRA,DF,52,13,19,20,13,39,3,25,52,321
286,Israel Reyes,MEX,DF,51,7,12,32,9,42,1,2,27,200
286,Adrien Rabiot,FRA,MF,51,15,10,26,33,18,3,10,34,267
286,Liam Millar,CAN,MF,51,28,20,3,15,36,2,23,16,103
286,Ellyes Skhiri,TUN,MF,51,2,18,31,42,9,0,7,16,155
286,Mohannad Abutaha,JOR,MF,51,15,25,11,11,40,2,18,43,154
286,Hiroki Ito,JPN,DF,51,2,12,37,9,42,0,6,39,250
286,Dani Olmo,ESP,FW,51,16,24,11,41,10,1,14,21,110
293,Lukas Provod,CZE,MF,50,31,15,4,24,26,2,24,20,109
293,Aiden Oneill,AUS,MF,50,1,25,24,38,12,1,7,38,155
293,Mert Muldur,TUR,DF,50,18,24,8,7,43,2,24,26,159
293,Djed Spence,ENG,DF,50,14,21,15,16,34,3,2,17,110
293,Mateo Chavez,MEX,DF,50,9,27,14,14,36,0,6,5,49
293,Lenny Joseph,HAI,FW,50,31,17,2,39,11,1,28,28,61
299,Ahmed Fatouh,EGY,DF,49,8,21,20,11,38,0,17,38,235
299,Mohanad Lashin,EGY,MF,49,1,11,37,20,29,0,9,20,156
299,Petar Sucic,CRO,MF,49,15,17,17,28,21,3,14,25,123
299,Ahmed Fathy,QAT,MF,49,3,18,28,41,8,0,4,14,146
299,Noor Alrawabdeh,JOR,MF,49,3,20,26,32,17,0,4,44,164
299,Nasser Aldawsari,KSA,MF,49,1,21,27,35,14,0,7,34,110
305,Sofyan Amrabat,MAR,MF,48,1,9,38,42,6,0,2,12,144
305,Ismail Yuksek,TUR,MF,48,7,11,30,35,13,2,4,33,249
305,Ousmane Dembele,FRA,FW,48,15,21,12,26,22,3,39,24,199
305,Sander Berge,NOR,MF,48,1,16,31,41,7,1,13,47,272
305,Alexis Saelemaekers,BEL,MF,48,14,21,13,28,20,0,16,12,58
305,Jack Hendry,SCO,DF,48,0,3,45,20,28,0,2,20,352
305,Alexis Mac Allister,ARG,MF,48,0,15,33,34,14,1,0,53,274
305,Raul Rangel,MEX,GK,48,1,0,47,34,14,0,0,6,191
313,Dominique Simon,HAI,MF,47,2,24,21,34,13,1,2,11,64
313,Ahmed Qasem,IRQ,FW,47,34,12,1,29,18,1,10,18,42
313,Kieran Tierney,SCO,DF,47,14,22,11,8,39,1,17,20,113
316,Ricardo Pepi,USA,FW,46,24,18,4,33,13,1,18,19,47
316,Julio Enciso,PAR,FW,46,22,22,2,27,19,3,23,40,105
316,Diego Gomez,PAR,MF,46,7,25,14,29,17,0,13,32,105
316,Christian Pulisic,USA,FW,46,13,23,10,18,28,1,15,10,55
316,Amar Memic,BIH,MF,46,25,12,9,14,32,0,16,32,96
316,Khuliso Mudau,RSA,DF,46,22,19,5,11,35,4,15,54,288
322,Elias Saad,TUN,FW,45,12,32,1,25,20,2,19,35,76
322,Aurelien Tchouameni,FRA,MF,45,0,7,38,39,6,0,0,7,132
322,Bernardo Silva,POR,MF,45,24,9,12,24,21,1,8,14,77
322,Nicolas De La Cruz,URU,MF,45,11,16,18,25,20,1,7,22,86
322,Anis Hadj Moussa,ALG,FW,45,20,22,3,14,31,1,15,26,75
322,Rafik Belghali,ALG,DF,45,23,15,7,16,29,3,17,42,250
322,Edin Dzeko,BIH,FW,45,15,27,3,34,11,3,17,29,81
329,Jordan Bos,AUS,DF,44,16,21,7,14,30,5,9,30,129
329,Jacob Italiano,AUS,DF,44,19,22,3,17,27,3,25,24,116
329,Patrik Schick,CZE,FW,44,23,21,0,34,10,0,27,32,75
329,Adam Hlozek,CZE,FW,44,20,20,4,32,12,4,26,31,70
329,Ladislav Krejci,CZE,DF,44,4,3,37,18,26,1,9,43,333
329,Paul Okon Engstler,AUS,MF,44,1,22,21,29,15,0,5,41,170
329,Cody Gakpo,NED,FW,44,28,14,2,21,23,4,46,37,137
329,Crysencio Summerville,NED,FW,44,20,14,10,17,27,5,23,38,99
329,Bradley Barcola,FRA,FW,44,21,14,9,16,28,5,25,23,92
329,Hussein Ali,IRQ,DF,44,24,18,2,3,41,2,10,8,82
339,Nizar Alrashdan,JOR,MF,43,7,27,9,28,15,0,12,26,139
339,Ali Jasim,IRQ,FW,43,12,28,3,15,28,2,14,14,42
339,Silvan Widmer,SUI,DF,43,16,17,10,10,33,3,4,14,90
339,Lamine Yamal,ESP,FW,43,18,19,6,12,31,7,37,31,145
339,Juergen Locadia,CUW,FW,43,36,7,0,28,15,2,28,26,67
339,Krepin Diatta,SEN,DF,43,8,14,21,5,38,2,12,56,262
339,Ronwen Williams,RSA,GK,43,0,0,43,31,12,0,0,7,279
339,Petar Musa,CRO,FW,43,33,9,1,38,5,0,10,13,29
339,Donyell Malen,NED,FW,43,27,16,0,30,13,2,19,16,45
339,Andrej Kramaric,CRO,FW,43,18,18,7,31,12,0,9,8,43
339,Jose Fajardo,PAN,FW,43,36,7,0,34,9,1,13,11,33
350,Sidny Lopes Cabral,CPV,DF,42,6,23,13,7,35,0,5,23,111
350,Saeid Ezatolahi,IRN,MF,42,1,12,29,33,9,0,5,30,150
350,Moteb Alharbi,KSA,DF,42,14,16,12,17,25,2,6,22,139
350,Jamiro Monteiro,CPV,MF,42,1,32,9,32,10,0,6,33,113
350,Timothy Castagne,BEL,DF,42,23,8,11,20,22,2,8,13,145
350,Dayot Upamecano,FRA,DF,42,1,1,40,19,23,0,2,31,336
350,Ime Okon,RSA,DF,42,1,2,39,10,32,0,2,34,391
357,Carlens Arcus,HAI,DF,41,11,25,5,10,31,0,11,10,124
357,Relebohile Mofokeng,RSA,FW,41,13,24,4,26,15,2,25,15,106
357,Louicius Deedson,HAI,FW,41,21,16,4,15,26,0,14,14,54
