Posição,Jogador,País,Posição Campo,Velocidade média (km/h),Corridas em alta velocidade,Arrancadas,Distância total (m)
35,Kenny Mclean,SCO,MF,7.3,188,56,16438.49
36,Damian Bobadilla,PAR,MF,7.29,169,47,12636.42
37,Mert Muldur,TUR,DF,7.29,133,50,14101.92
38,Ngalayel Mukau,COD,MF,7.29,201,61,13731.34
39,Sarpreet Singh,NZL,MF,7.25,288,88,21262.46
40,Michel Aebischer,SUI,MF,7.24,308,110,19862.73
41,Callum Mccowatt,NZL,MF,7.24,269,91,17205.4
42,Hicham Boudaoui,ALG,MF,7.24,200,64,14230.46
43,Amirhossein Hosseinzadeh,IRN,FW,7.23,47,17,3200.06
44,Thiago Almada,ARG,FW,7.23,177,74,15652.61
45,Hans Vanaken,BEL,MF,7.21,81,17,5676.68
46,Thomas Meunier,BEL,DF,7.21,265,113,19910.92
47,Elliot Stroud,SWE,DF,7.21,47,17,3934.0
48,Mostafa Zico,EGY,MF,7.19,268,96,19116.69
49,Odeh Fakhoury,JOR,FW,7.18,197,76,13146.1
50,Paul Okon Engstler,AUS,MF,7.17,285,84,20553.68
51,Michal Sadilek,CZE,MF,7.16,385,125,24212.55
52,Mikel Merino,ESP,MF,7.16,119,30,7333.76
53,Lewis Ferguson,SCO,MF,7.16,451,119,36575.01
54,Ryan Thomas,NZL,MF,7.16,106,37,6302.61
55,Memphis Depay,NED,FW,7.15,97,44,5977.33
56,Samuel Moutoussamy,COD,MF,7.15,307,83,22300.63
57,Marcus Rashford,ENG,FW,7.14,65,29,4556.71
58,Petar Sucic,CRO,MF,7.14,229,74,15057.71
59,Stephen Eustaquio,CAN,MF,7.13,470,113,28040.39
60,Martin Odegaard,NOR,MF,7.12,330,125,22635.9
61,Ivan Sunjic,BIH,MF,7.12,290,76,19237.65
62,Scott Mctominay,SCO,MF,7.12,483,135,36353.67
63,Kai Havertz,GER,FW,7.11,317,111,22758.28
64,Bruno Guimaraes,BRA,MF,7.11,430,91,32353.12
65,Nelson Semedo,POR,DF,7.11,118,44,8446.65
66,Jamal Musiala,GER,MF,7.09,209,67,16007.58
67,Patrick Berg,NOR,MF,7.08,139,41,8212.88
68,Anis Slimane,TUN,MF,7.06,285,87,22052.18
69,Benjamin Tahirovic,BIH,MF,7.05,355,98,25270.96
70,Neil El Aynaoui,MAR,MF,7.04,424,152,34363.9
71,Zizo,EGY,FW,7.03,44,25,4217.78
72,Marawan Attia,EGY,MF,7.03,374,122,23886.21
73,Jayden Adams,RSA,MF,7.03,181,57,14495.71
74,Nasser Aldawsari,KSA,MF,7.02,283,80,15579.35
75,Tomas Soucek,CZE,MF,7.02,264,57,17938.82
76,Elias Achouri,TUN,FW,7.01,35,23,3460.94
77,Adrien Rabiot,FRA,MF,7.0,300,85,23468.84
78,Rodri,ESP,MF,7.0,272,60,22625.1
79,Lucas Bergvall,SWE,MF,6.99,114,40,8494.97
80,Mohamed Manai,QAT,FW,6.99,153,43,10166.36
81,Ahmed Qasem,IRQ,FW,6.98,203,75,14175.36
82,Desire Doue,FRA,FW,6.98,162,71,13415.16
83,Aiden Oneill,AUS,MF,6.98,347,94,23894.77
84,Simon Banza,COD,FW,6.95,70,23,5130.52
85,Dani Olmo,ESP,FW,6.94,121,45,9017.29
86,Lukas Provod,CZE,MF,6.94,228,88,16011.22
87,Abdullah Alkhaibari,KSA,MF,6.94,235,54,17346.24
88,Richard Rios,COL,MF,6.94,66,28,4713.09
89,Elliot Anderson,ENG,MF,6.94,315,92,21014.39
90,Mateo Kovacic,CRO,MF,6.93,163,46,13023.61
91,Florian Wirtz,GER,MF,6.93,337,114,23652.24
92,Akmal Mozgovoy,UZB,MF,6.93,239,60,17893.86
93,Sander Berge,NOR,MF,6.92,324,79,23959.07
94,Joao Neves,POR,MF,6.92,266,91,21083.66
95,Pape Gueye,SEN,MF,6.92,209,64,16841.24
96,Zidane Iqbal,IRQ,MF,6.92,230,31,15768.2
97,Ellyes Skhiri,TUN,MF,6.91,209,37,19497.87
98,Vitinha,POR,MF,6.91,242,80,20386.06
99,Jacob Italiano,AUS,DF,6.89,279,121,20985.37
100,Hakan Calhanoglu,TUR,MF,6.89,319,72,24004.04
101,Joe Bell,NZL,MF,6.88,339,78,23599.6
102,Ricardo Pepi,USA,FW,6.88,144,64,11791.77
103,Edo Kayembe,COD,MF,6.88,255,77,17922.73
104,Ibrahim Maza,ALG,MF,6.88,275,75,21623.12
105,Andres Cubas,PAR,MF,6.88,346,103,24364.52
106,Jesper Karlstrom,SWE,MF,6.88,199,48,16846.98
107,Sebastian Berhalter,USA,MF,6.88,131,43,9028.1
108,Remo Freuler,SUI,MF,6.87,482,106,33791.83
109,Danley Jean Jacques,HAI,MF,6.87,470,138,33149.8
110,Youri Tielemans,BEL,MF,6.86,315,107,23159.88
111,Carlos Harvey,PAN,DF,6.85,322,78,23421.71
112,Nico Williams,ESP,FW,6.85,57,36,4662.38
113,Ali Olwan,JOR,FW,6.85,293,111,23108.88
114,Noah Sadiki,COD,MF,6.84,129,47,10072.54
115,Lamine Camara,SEN,MF,6.84,247,103,16942.16
116,Hamza Abdelkarim,EGY,FW,6.83,58,37,4974.65
117,Fabian Ruiz,ESP,MF,6.83,131,32,11704.95
118,Igor Sergeev,UZB,FW,6.83,46,16,3601.0
119,Edgar Yoel Barcenas,PAN,MF,6.83,320,80,22676.19
120,Vladimir Coufal,CZE,DF,6.82,443,154,34224.86
121,Marko Farji,IRQ,FW,6.82,96,30,6975.47
122,Che Adams,SCO,FW,6.82,192,75,17234.99
123,Ali Alhamadi,IRQ,FW,6.82,182,77,15290.76
124,Franck Kessie,CIV,MF,6.82,293,96,23500.43
125,Jearl Margaritha,CUW,FW,6.81,62,36,5685.6
126,Patrik Schick,CZE,FW,6.81,251,76,22836.75
127,Joshua Kimmich,GER,DF,6.8,254,90,21830.86
128,Cristian Martinez,PAN,MF,6.8,212,95,18685.5
129,Ismaila Sarr,SEN,FW,6.8,264,98,21037.17
130,Mohammad Mohebbi,IRN,MF,6.8,287,109,19709.48
131,Kaishu Sano,JPN,MF,6.8,264,71,22570.24
132,Takehiro Tomiyasu,JPN,DF,6.79,117,26,11154.81
133,Oscar Bobb,NOR,MF,6.79,57,26,4663.7
134,Milad Mohammadi,IRN,DF,6.79,175,75,14606.74
135,Diego Gomez,PAR,MF,6.78,247,90,18224.08
136,Hwang Inbeom,KOR,MF,6.78,372,97,32488.04
137,Wilson Isidor,HAI,FW,6.78,287,110,22699.6
138,Ramin Rezaeian,IRN,DF,6.77,290,100,23072.79
139,Adam Hlozek,CZE,FW,6.77,251,94,19420.45
140,Andreas Schjelderup,NOR,MF,6.77,68,27,6169.54
141,Elijah Just,NZL,MF,6.76,291,122,21471.21
142,Ismael Saibari,MAR,MF,6.76,391,220,28763.3
143,Nabil Bentaleb,ALG,MF,6.76,200,52,15447.66
144,Laros Duarte,CPV,MF,6.75,123,31,10615.79
145,Liberato Cacace,NZL,DF,6.75,220,67,17204.29
146,Nishan Velupillay,AUS,FW,6.75,140,53,9830.13
147,Miguel Almiron,PAR,MF,6.75,168,61,14801.86
148,Seko Fofana,CIV,MF,6.75,168,54,11627.71
149,Martin Baturina,CRO,MF,6.72,288,91,20406.63
150,Ibrahim Sangare,CIV,MF,6.71,143,37,11626.75
151,Keito Nakamura,JPN,MF,6.71,275,97,20303.23
152,Caleb Yirenkyi,GHA,MF,6.71,309,98,23435.5
153,Livano Comenencia,CUW,MF,6.71,246,88,20967.4
154,Saman Ghoddos,IRN,MF,6.71,225,68,17502.49
155,Nathaniel Brown,GER,DF,6.7,217,87,20299.52
156,Yukinari Sugawara,JPN,DF,6.7,41,18,4975.62
157,Petar Musa,CRO,FW,6.7,160,61,13217.92
158,Riyad Mahrez,ALG,FW,6.7,175,53,12895.95
159,Azzedine Ounahi,MAR,MF,6.7,282,123,22515.32
160,Gustavo Puerta,COL,DF,6.69,271,79,20718.2
161,Ahmed Fatouh,EGY,DF,6.69,269,113,21937.7
162,Julian Quinones,MEX,FW,6.68,388,158,30123.38
163,El Hadji Malick Diouf,SEN,DF,6.68,229,82,18079.2
164,Patrick Wimmer,AUT,FW,6.67,54,23,4379.3
165,Emam Ashour,EGY,MF,6.67,241,90,18124.2
166,Amir Alammari,IRQ,MF,6.67,245,64,19256.84
167,Fares Chaibi,ALG,MF,6.67,281,102,22583.36
168,Paik Seungho,KOR,MF,6.66,269,63,23909.61
169,Seol Youngwoo,KOR,DF,6.66,309,155,30578.14
170,Ismail Yuksek,TUR,MF,6.65,156,43,16925.98
171,Pavel Sulc,CZE,FW,6.65,338,102,22856.82
172,Martin Experience,HAI,DF,6.65,447,187,33997.02
173,Mathias Olivera,URU,DF,6.65,307,85,23112.34
174,Felix Nmecha,GER,MF,6.64,267,93,20231.84
175,Marco Pasalic,CRO,FW,6.64,120,73,11556.11
176,Julian Ryerson,NOR,FW,6.64,140,43,12119.18
177,Connor Metcalfe,AUS,MF,6.64,228,78,17180.07
178,Orkun Kokcu,TUR,MF,6.64,99,36,9056.98
179,Jean Ricner Bellegarde,HAI,MF,6.64,431,112,32370.02
180,Declan Rice,ENG,MF,6.63,244,86,19826.25
181,Bukayo Saka,ENG,FW,6.63,75,27,6016.7
182,Ahmed Fathy,QAT,MF,6.63,312,80,18273.99
183,Frenkie De Jong,NED,MF,6.63,195,53,17752.5
184,Ehsan Hajisafi,IRN,DF,6.62,134,48,11464.24
185,Nizar Alrashdan,JOR,MF,6.62,310,79,23030.36
186,Kwasi Sibo,GHA,MF,6.62,206,39,13823.21
187,Antonee Robinson,USA,DF,6.61,273,94,21119.78
188,Sergino Dest,USA,DF,6.61,225,111,18029.72
189,Baris Alper Yilmaz,TUR,FW,6.6,127,53,11296.79
190,Tijjani Reijnders,NED,MF,6.59,191,56,14991.35
191,Enzo Fernandez,ARG,MF,6.59,306,99,22484.62
192,Leandro Trossard,BEL,FW,6.58,273,88,22229.36
193,Mohanad Lashin,EGY,MF,6.58,260,84,22348.58
194,Ali Ahmed,CAN,FW,6.58,225,114,18923.03
195,Anis Hadj Moussa,ALG,FW,6.58,123,47,9612.38
196,Otabek Shukurov,UZB,MF,6.57,279,63,22274.07
197,Marc Guehi,ENG,DF,6.57,112,29,11069.43
198,Casemiro,BRA,MF,6.57,243,68,24374.14
199,Jordan Ayew,GHA,FW,6.57,227,83,18078.81
200,Azarias Londono,PAN,FW,6.57,66,25,5479.85
201,Carney Chukwuemeka,AUT,MF,6.57,88,28,5984.16
202,Kevin De Bruyne,BEL,MF,6.56,258,85,20152.07
203,Lucas Paqueta,BRA,MF,6.56,270,101,22539.82
204,Marc Cucurella,ESP,DF,6.56,221,95,22105.13
205,Sphephelo Sithole,RSA,MF,6.55,272,64,17019.34
206,Stefan Posch,AUT,DF,6.55,254,92,19806.8
207,Alexander Sorloth,NOR,FW,6.55,234,83,17867.33
208,Ferdi Kadioglu,TUR,DF,6.55,218,101,19552.43
209,Leroy Sane,GER,MF,6.55,236,113,17981.52
210,Weston Mckennie,USA,MF,6.55,276,107,22569.34
211,Johan Manzambi,SUI,MF,6.55,220,77,16011.21
212,Mohannad Abutaha,JOR,MF,6.55,293,115,21335.18
213,Nilson Angulo,ECU,FW,6.54,94,39,7423.17
214,Arda Guler,TUR,FW,6.54,286,81,22796.61
215,Mohamed Salah,EGY,FW,6.54,202,80,18347.57
216,Granit Xhaka,SUI,MF,6.53,515,99,33120.81
217,Nicolas Raskin,BEL,MF,6.53,120,33,11397.34
218,Maxim De Cuyper,BEL,DF,6.53,195,64,15525.4
219,Feras Albrikan,KSA,FW,6.52,194,63,17442.49
220,Saeid Ezatolahi,IRN,MF,6.51,260,44,21054.92
221,Pathe Ciss,SEN,MF,6.51,59,18,5017.16
222,Djed Spence,ENG,DF,6.51,87,46,9139.07
223,Salem Aldawsari,KSA,FW,6.5,313,121,22275.27
224,Alexander Bernhardsson,SWE,DF,6.5,179,61,16633.58
225,Oswin Appollis,RSA,FW,6.5,270,115,20626.63
226,Ivan Basic,BIH,MF,6.5,270,63,22053.62
227,Ousmane Dembele,FRA,FW,6.49,210,75,16860.84
228,Gonzalo Plata,ECU,FW,6.49,245,87,21903.88
229,Jason Geria,AUS,DF,6.49,78,29,7925.03
230,Ehsan Haddad,JOR,DF,6.48,261,88,20288.46
231,Juan Manuel Sanabria,URU,MF,6.48,227,93,17201.42
232,Yasin Ayari,SWE,MF,6.48,232,53,19825.67
233,Daichi Kamada,JPN,MF,6.47,196,68,18973.73
234,Dan Ndoye,SUI,FW,6.47,192,93,16958.93
235,Jose Fajardo,PAN,FW,6.47,163,77,13636.25
236,Marko Stamenic,NZL,MF,6.47,258,84,21756.6
237,Iqraam Rayners,RSA,FW,6.47,178,101,18002.87
238,Jonathan David,CAN,FW,6.46,359,118,28888.94
239,Esmir Bajraktarevic,BIH,FW,6.46,250,114,23192.55
240,Francisco Conceicao,POR,FW,6.46,107,53,10770.16
241,Angelo Preciado,ECU,DF,6.46,56,24,5161.47
242,Mario Pasalic,CRO,MF,6.46,131,49,10044.26
243,Ladislav Krejci,CZE,DF,6.46,373,81,32407.75
244,Jules Kounde,FRA,DF,6.45,263,92,20580.22
245,Rodrigo Bentancur,URU,MF,6.45,225,91,22433.8
246,Joao Cancelo,POR,DF,6.45,184,67,16284.77
247,Gabriel Gudmundsson,SWE,DF,6.45,177,80,17854.81
248,Amar Memic,BIH,MF,6.44,274,137,24729.52
249,Manuel Ugarte,URU,MF,6.44,179,52,16440.25
250,Julian Alvarez,ARG,FW,6.44,102,56,8031.41
251,Israel Reyes,MEX,DF,6.44,245,57,22684.22
252,Xaver Schlager,AUT,MF,6.44,208,55,17460.0
253,Bradley Barcola,FRA,FW,6.43,80,39,10890.47
254,Tajon Buchanan,CAN,FW,6.42,286,107,24667.23
255,Deniz Gul,TUR,FW,6.42,43,22,5152.77
256,Pedro Vite,ECU,MF,6.42,339,79,21670.71
257,Julio Enciso,PAR,FW,6.42,269,105,21853.59
258,Paul Wanner,AUT,MF,6.41,171,46,12752.33
259,Abdul Fatawu,GHA,FW,6.41,105,40,7953.9
260,Kerim Alajbegovic,BIH,FW,6.41,242,83,21703.2
261,Nicolas Seiwald,AUT,MF,6.41,279,79,22513.36
262,Mohammed Abu Alshamat,KSA,DF,6.4,154,66,13382.09
263,Nicolas De La Cruz,URU,MF,6.4,84,36,5928.76
264,Daniel Munoz,COL,DF,6.4,281,101,22063.89
265,Jordan Bos,AUS,DF,6.4,212,122,20456.32
266,Harry Kane,ENG,FW,6.39,251,77,21775.07
267,Sebastian Tounekti,TUN,MF,6.39,137,49,10374.06
268,Rafik Belghali,ALG,DF,6.39,278,96,21632.6
269,Agustin Canobbio,URU,MF,6.39,202,94,16958.1
270,Thalente Mbatha,RSA,MF,6.37,363,114,26330.22
271,Viktor Gyokeres,SWE,FW,6.37,210,91,21330.18
272,Alexis Mac Allister,ARG,MF,6.37,254,50,21740.52
273,Nicolas Jackson,SEN,FW,6.37,233,119,20493.68
274,Nicolas Pepe,CIV,FW,6.37,132,55,9812.63
275,Pau Cubarsi,ESP,DF,6.37,190,60,21462.29
276,Kevin Rodriguez,ECU,FW,6.36,93,37,7454.3
277,Alistair Johnston,CAN,DF,6.36,419,152,32449.41
278,Romano Schmid,AUT,MF,6.36,243,92,18168.11
279,Josip Stanisic,CRO,DF,6.36,225,113,21200.89
280,Ritsu Doan,JPN,MF,6.35,137,76,16338.73
281,Roberto Alvarado,MEX,FW,6.35,352,118,30150.91
282,Malik Tillman,USA,MF,6.34,274,98,20208.35
283,Joris Kayembe,COD,DF,6.34,57,23,4793.14
284,Josko Gvardiol,CRO,DF,6.34,183,71,15505.62
285,Torbjorn Heggem,NOR,DF,6.34,205,67,20176.24
286,Jefferson Lerma,COL,MF,6.34,314,66,21856.0
287,Gustaf Lagerbielke,SWE,DF,6.33,248,65,21209.89
288,Alex Freeman,USA,DF,6.33,259,80,22066.15
289,Brian Rodriguez,URU,FW,6.33,56,21,3707.01
290,Guillermo Varela,URU,DF,6.33,230,109,22019.25
291,Piero Hincapie,ECU,DF,6.33,238,95,21352.6
292,Yan Valery,TUN,DF,6.32,202,87,18590.84
293,Ibrahim Bayesh,IRQ,MF,6.32,193,62,16232.12
294,Brandon Mechele,BEL,DF,6.32,248,78,21334.39
295,Kerem Akturkoglu,TUR,FW,6.31,147,73,15234.03
296,Jesus Gallardo,MEX,DF,6.3,204,72,22331.19
297,Deroy Duarte,CPV,MF,6.3,97,27,9087.35
298,Nico Oreilly,ENG,DF,6.3,154,59,14091.42
299,Nathan Patterson,SCO,DF,6.3,203,86,21036.01
300,Guela Doue,CIV,DF,6.3,122,41,10830.51
301,Amad Diallo,CIV,FW,6.29,166,66,13133.88
302,Jude Bellingham,ENG,MF,6.29,218,109,17228.33
303,Lautaro Martinez,ARG,FW,6.28,138,49,13544.66
304,Amir Murillo,PAN,DF,6.28,233,105,21453.46
305,Hussein Ali,IRQ,DF,6.27,179,71,18211.32
306,Bruno Fernandes,POR,MF,6.27,251,98,21121.74
307,Hwang Heechan,KOR,MF,6.27,144,62,12925.63
308,David Moller Wolfe,NOR,DF,6.27,210,85,18974.33
309,Jonathan Tah,GER,DF,6.27,185,63,19004.57
310,Rafael Leao,POR,FW,6.26,52,18,3811.49
311,Oh Hyeongyu,KOR,FW,6.26,158,64,15016.21
312,Ryan Mendes,CPV,FW,6.26,260,88,21388.99
313,Saleem Obaid,JOR,DF,6.25,36,16,3594.43
314,Konrad Laimer,AUT,MF,6.25,224,108,21964.54
315,Leo Ostigard,NOR,DF,6.25,45,10,4358.41
316,Tyler Adams,USA,MF,6.25,272,91,21765.77
317,Moteb Alharbi,KSA,DF,6.24,215,89,20749.62
318,Ermedin Demirovic,BIH,FW,6.24,282,134,30044.1
319,Jamiro Monteiro,CPV,MF,6.23,164,51,17643.27
320,Mehdi Taremi,IRN,FW,6.23,225,100,19554.3
321,Lee Hanbeom,KOR,DF,6.23,365,107,31151.94
322,Deniz Undav,GER,FW,6.22,93,32,7142.54
323,Merchas Doski,IRQ,DF,6.22,189,75,20571.15
324,Douglas Santos,BRA,DF,6.22,371,122,30423.81
325,Mohamed Toure,AUS,FW,6.22,152,51,13569.82
326,Crysencio Summerville,NED,FW,6.22,134,63,12526.79
327,Jose Luis Rodriguez,PAN,MF,6.21,212,78,18353.15
328,Ramy Rabia,EGY,DF,6.21,106,31,9037.9
329,Edmilson Junior,QAT,FW,6.21,290,97,23874.51
330,Ange Yoan Bonny,CIV,FW,6.2,168,59,12979.99
331,Luc De Fougerolles,CAN,DF,6.2,347,109,28781.83
332,Amine Gouiri,ALG,FW,6.2,211,73,16276.5
333,Ismael Gharbi,TUN,MF,6.19,84,31,6797.72
334,Nikola Katic,BIH,DF,6.19,299,101,27639.16
335,Zaid Tahseen,IRQ,DF,6.19,179,49,16808.01
336,Ben Gannon Doak,SCO,FW,6.19,200,96,20888.71
337,Dayot Upamecano,FRA,DF,6.18,168,77,20737.87
338,Abbosbek Fayzullaev,UZB,MF,6.18,210,79,16563.83
339,Hannibal Mejbri,TUN,MF,6.18,219,62,20656.26
340,Matheus Cunha,BRA,FW,6.18,262,86,19674.92
341,Lee Gihyuk,KOR,MF,6.18,388,125,30898.48
342,Moises Caicedo,ECU,MF,6.18,242,62,20852.76
343,Sead Kolasinac,BIH,DF,6.17,255,107,29772.69
344,Ayase Ueda,JPN,FW,6.17,183,62,17921.29
345,Sherzod Nasrullaev,UZB,DF,6.17,109,45,10401.55
346,Evidence Makgopa,RSA,FW,6.16,184,59,15963.57
347,Yunus Akgun,TUR,FW,6.16,101,52,10803.37
348,Facundo Medina,ARG,DF,6.16,226,60,19428.31
349,Odilon Kossounou,CIV,DF,6.16,112,22,11155.22
350,Rayan Ait Nouri,ALG,DF,6.16,219,104,19488.96
351,Tahith Chong,CUW,MF,6.16,175,64,17139.91
352,John Mcginn,SCO,MF,6.15,331,98,28477.11
353,Josip Sutalo,CRO,DF,6.15,209,70,20524.36
354,Juninho Bacuna,CUW,MF,6.15,194,89,18376.57
355,Jassem Gaber,QAT,DF,6.14,232,55,17053.08
356,Son Heungmin,KOR,FW,6.14,169,96,18757.38
357,Nico Gonzalez,ARG,MF,6.14,79,31,7641.99
358,Nico Schlotterbeck,GER,DF,6.14,158,40,15443.46
359,Tim Payne,NZL,DF,6.13,212,81,17599.51
360,Yoane Wissa,COD,FW,6.13,188,79,20626.38
361,Omar Rekik,TUN,DF,6.13,199,66,20477.26
362,Bilal El Khannouss,MAR,MF,6.12,328,141,28097.49
363,Denzel Dumfries,NED,DF,6.12,226,86,20360.6
364,Ivan Perisic,CRO,FW,6.12,227,99,20405.46
365,Ryan Gravenberch,NED,MF,6.12,224,67,18818.22
366,Jonas Adjetey,GHA,DF,6.12,224,77,21351.1
367,Behruzjon Karimov,UZB,DF,6.11,233,107,20671.11
368,Cedric Bakambu,COD,FW,6.11,178,92,15553.78
369,Abdulkerim Bardakci,TUR,DF,6.11,165,59,19876.17
370,Christ Inao Oulai,CIV,MF,6.1,132,34,12743.91
371,Anthony Gordon,ENG,FW,6.1,159,95,15149.38
372,Alan Franco,ECU,MF,6.1,174,75,15409.57
373,Antonio Ruediger,GER,DF,6.1,62,25,7577.88
374,Tarik Muharemovic,BIH,DF,6.1,188,47,18555.28
375,Ali Abdi,TUN,DF,6.09,216,105,19784.19
376,Ali Nemati,IRN,DF,6.09,244,73,20776.39
377,Luka Modric,CRO,MF,6.09,165,53,14967.47
378,Juan Jose Caceres,PAR,DF,6.09,196,80,17749.1
379,Chadi Riad,MAR,DF,6.09,336,75,31317.86
380,Ruben Providence,HAI,FW,6.09,312,115,24005.38
381,Alessandro Circati,AUS,DF,6.08,184,72,20828.0
382,Prince Adu,GHA,FW,6.08,49,22,4362.58
383,Merih Demiral,TUR,DF,6.08,153,57,21211.19
384,Chris Richards,USA,DF,6.08,236,47,21169.14
385,Brian Brobbey,NED,FW,6.07,95,28,8493.64
386,Hiroki Ito,JPN,DF,6.07,200,61,20159.87
387,Ben Old,NZL,MF,6.07,81,42,6332.37
388,Carlens Arcus,HAI,DF,6.07,247,86,18006.56
389,Telmo Arcanjo,CPV,MF,6.06,58,27,6515.91
390,Renato Veiga,POR,DF,6.06,221,55,20393.23
391,Edson Alvarez,MEX,DF,6.06,288,87,22977.48
392,Josue Casimir,HAI,FW,6.05,246,113,20980.8
393,Achraf Hakimi,MAR,DF,6.05,344,158,31119.42
394,Nahuel Molina,ARG,DF,6.05,153,67,15458.81
395,Lamine Yamal,ESP,FW,6.04,62,25,7447.01
396,Aymeric Laporte,ESP,DF,6.04,176,51,20370.06
397,Aaron Wan Bissaka,COD,DF,6.04,220,86,19255.02
398,Teboho Mokoena,RSA,MF,6.04,271,82,20384.48
399,Aubrey Modiba,RSA,DF,6.04,330,105,28370.54
400,Kristoffer Ajer,NOR,DF,6.04,200,61,20886.02
401,Assim Madibo,QAT,MF,6.04,208,30,14695.95
402,Tani Oluwaseyi,CAN,FW,6.03,158,79,14643.45
403,Chris Wood,NZL,FW,6.02,202,87,20618.03
404,Kevin Pina,CPV,MF,6.01,147,43,17920.4
405,Anthony Elanga,SWE,FW,6.01,35,29,4686.42
406,Marvin Senaya,GHA,DF,6.01,179,106,20095.68
407,Jose Cordoba,PAN,DF,6.01,197,69,20506.02
408,Gustavo Velazquez,PAR,DF,6.0,50,21,5162.98
409,Deveron Fonville,CUW,DF,6.0,167,95,17909.15
410,Hamdy Fathy,EGY,MF,5.99,150,53,13382.36
411,James Rodriguez,COL,MF,5.99,139,23,13892.45
412,Sadio Mane,SEN,FW,5.98,226,101,20960.36
413,Maxi Araujo,URU,MF,5.98,189,81,17323.04
414,Frantzdy Pierrot,HAI,FW,5.98,210,61,17982.57
415,Mikel Oyarzabal,ESP,FW,5.98,167,60,14747.99
416,Steven Moreira,CPV,DF,5.98,189,65,20437.13
417,Jack Hendry,SCO,DF,5.98,349,123,30532.32
418,Jiovany Ramos,PAN,DF,5.98,205,63,18498.83
419,Pedro Neto,POR,FW,5.97,139,74,12703.83
420,Lenny Joseph,HAI,FW,5.97,120,60,12922.53
421,Kim Minjae,KOR,DF,5.97,264,91,26815.14
422,Antonio Nusa,NOR,FW,5.96,186,78,15210.38
423,Montassar Talbi,TUN,DF,5.96,175,55,19928.19
424,Eldor Shomurodov,UZB,FW,5.96,187,92,19777.65
425,Sherel Floranus,CUW,DF,5.96,217,79,19879.73
426,Finn Surman,NZL,DF,5.95,192,63,20409.99
427,Aymen Hussein,IRQ,FW,5.95,126,54,12557.87
428,Brahim Diaz,MAR,FW,5.95,268,98,22981.78
429,Mousa Altamari,JOR,FW,5.95,182,91,17849.26
430,Junior Alonso,PAR,DF,5.94,244,78,21057.03
431,Andres Andrade,PAN,DF,5.94,214,76,20262.76
432,Kenan Yildiz,TUR,FW,5.93,142,42,15842.48
433,David Alaba,AUT,DF,5.93,134,38,13402.21
434,Nuno Da Costa,CPV,MF,5.93,73,29,7349.55
435,Darwin Nunez,URU,FW,5.92,66,35,7830.16
436,Krepin Diatta,SEN,DF,5.92,227,79,20742.73
437,Andy Robertson,SCO,DF,5.92,246,107,25387.97
438,Arthur Masuaku,COD,DF,5.92,183,61,15386.88
439,John Yeboah,ECU,FW,5.91,190,83,15551.24
440,Gabriel Magalhaes,BRA,DF,5.91,306,74,30399.51
441,Yasser Ibrahim,EGY,DF,5.91,208,83,20067.54
442,Junya Ito,JPN,MF,5.91,119,60,13050.74
443,Sidny Lopes Cabral,CPV,DF,5.91,158,70,18145.49
