Posição,Jogador,País,Posição Campo,Passes,Precisão dos passes (%),Cruzamentos,Precisão dos cruzamentos (%),Tentativas de ruptura da linha defensiva,Precisão das rupturas da linha defensiva ((%)),Tentativas de mudança de direção do jogo,Precisão das mudanças de direção do jogo ((%))
32,Danilo,BRA,DF,168,90,3,33,5,40,0,0
32,Stephen Eustaquio,CAN,MF,168,91,27,26,9,78,2,100
34,Pedro Vite,ECU,MF,167,92,3,67,4,75,0,0
35,Pedri,ESP,MF,166,87,13,38,8,88,2,100
36,Jan Paul Van Hecke,NED,DF,164,95,0,0,1,0,2,50
37,Jonathan Tah,GER,DF,161,98,0,0,2,100,0,0
37,Tim Ream,USA,DF,161,94,0,0,5,20,3,100
39,Ladislav Krejci,CZE,DF,160,84,2,50,2,50,1,100
40,Lee Kangin,KOR,MF,159,88,20,25,12,75,7,86
41,Joshua Kimmich,GER,DF,156,90,10,40,7,57,1,100
41,Dayot Upamecano,FRA,DF,156,93,0,0,5,80,0,0
41,Douglas Santos,BRA,DF,156,92,1,100,2,50,0,0
44,Andy Robertson,SCO,DF,153,81,11,36,7,14,3,33
45,Renato Veiga,POR,DF,152,97,0,0,4,50,0,0
45,Paik Seungho,KOR,MF,152,89,1,0,7,43,1,100
45,Alistair Johnston,CAN,DF,152,76,20,30,12,50,2,100
48,Hannes Delcroix,HAI,DF,151,97,1,0,2,50,1,100
48,Ronwen Williams,RSA,GK,151,68,0,0,7,29,3,67
50,Willian Pacho,ECU,DF,150,92,0,0,1,0,0,0
51,Florian Wirtz,GER,MF,149,87,2,0,5,60,2,100
51,Bruno Fernandes,POR,MF,149,87,12,25,9,89,4,100
53,Alex Freeman,USA,DF,148,90,1,0,3,67,2,100
53,Richie Laryea,CAN,DF,148,82,2,50,8,75,1,100
55,Moussa Niakhate,SEN,DF,147,92,2,50,0,0,3,100
55,Arda Guler,TUR,FW,147,88,14,29,5,80,3,100
55,Lucas Paqueta,BRA,MF,147,86,2,0,6,83,1,100
58,Joao Neves,POR,MF,146,96,1,0,7,71,2,50
58,Josip Sutalo,CRO,DF,146,90,0,0,2,0,3,67
60,Nathan Ngoy,BEL,DF,144,97,0,0,2,50,3,100
61,Jose Cordoba,PAN,DF,143,92,1,0,1,100,2,100
61,Bilal El Khannouss,MAR,MF,143,81,10,20,16,81,1,100
63,Andres Andrade,PAN,DF,142,84,7,0,5,40,5,80
63,Aleksandar Pavlovic,GER,MF,142,94,1,0,1,0,1,100
63,Brandon Mechele,BEL,DF,142,92,0,0,1,0,0,0
66,Teboho Mokoena,RSA,MF,141,94,2,0,3,67,2,100
67,Lisandro Martinez,ARG,DF,140,96,0,0,2,50,0,0
68,Sebastian Caceres,URU,DF,139,89,1,0,4,50,1,100
68,Enzo Fernandez,ARG,MF,139,92,1,0,4,75,3,67
70,Davinson Sanchez,COL,DF,138,94,0,0,2,0,3,100
70,Marawan Attia,EGY,MF,138,91,5,40,5,40,4,100
70,Nuno Mendes,POR,DF,138,84,13,23,6,50,0,0
70,Sead Kolasinac,BIH,DF,138,82,8,13,4,25,0,0
74,Ricardo Ade,HAI,DF,136,89,0,0,5,40,1,100
75,Khuliso Mudau,RSA,DF,135,92,5,20,4,25,0,0
75,Issa Diop,MAR,DF,135,87,0,0,3,0,0,0
75,Marc Guehi,ENG,DF,135,99,0,0,1,100,1,0
78,Johan Vasquez,MEX,DF,134,93,0,0,2,50,0,0
78,Luc De Fougerolles,CAN,DF,134,91,1,0,4,50,1,0
80,William Saliba,FRA,DF,133,98,0,0,1,0,2,100
80,Rodrigo Bentancur,URU,MF,133,92,1,0,1,0,0,0
82,Ayyoub Bouaddi,MAR,MF,132,90,0,0,0,0,0,0
82,Idrissa Gana Gueye,SEN,MF,132,91,0,0,5,60,4,100
84,Alexis Mac Allister,ARG,MF,131,95,0,0,0,0,2,100
84,Marc Cucurella,ESP,DF,131,96,7,0,2,50,0,0
86,Jean Ricner Bellegarde,HAI,MF,130,86,12,25,5,60,4,100
86,Krepin Diatta,SEN,DF,130,87,4,75,3,100,0,0
88,Elliot Anderson,ENG,MF,128,89,1,100,4,50,0,0
89,Frenkie De Jong,NED,MF,127,96,0,0,2,100,1,100
90,Torbjorn Heggem,NOR,DF,126,94,0,0,2,0,0,0
90,Edson Alvarez,MEX,DF,126,88,1,100,3,0,3,67
92,Jhon Lucumi,COL,DF,125,94,0,0,3,0,6,100
92,Sander Berge,NOR,MF,125,96,1,0,2,100,1,100
92,Mbekezeli Mbokazi,RSA,DF,125,84,2,0,3,33,1,0
95,Derek Cornelius,CAN,DF,124,87,1,0,2,50,1,0
95,Tyler Adams,USA,MF,124,89,0,0,2,100,0,0
95,Merih Demiral,TUR,DF,124,96,1,0,5,40,2,100
95,Rayan Ait Nouri,ALG,DF,124,90,7,0,5,60,0,0
95,Akam Hashim,IRQ,DF,124,89,0,0,2,0,1,100
100,Seol Youngwoo,KOR,DF,123,92,11,27,6,83,0,0
100,Nikola Katic,BIH,DF,123,89,0,0,1,0,0,0
100,Nico Schlotterbeck,GER,DF,123,89,0,0,3,67,4,75
103,Adrien Rabiot,FRA,MF,122,94,0,0,7,71,0,0
104,Bruno Guimaraes,BRA,MF,121,79,6,17,12,42,2,50
104,Jiovany Ramos,PAN,DF,121,89,0,0,2,0,2,50
104,Hiroki Ito,JPN,DF,121,92,4,0,5,40,0,0
107,Manuel Ugarte,URU,MF,120,89,0,0,2,100,0,0
107,Nikola Vasilj,BIH,GK,120,59,0,0,4,0,0,0
109,Angus Gunn,SCO,GK,119,76,0,0,0,0,1,100
109,Ahmed Fatouh,EGY,DF,119,87,4,25,7,57,0,0
109,Roberto Alvarado,MEX,FW,119,82,10,30,9,56,1,100
112,Reece James,ENG,DF,118,93,7,29,6,50,2,50
113,Antonee Robinson,USA,DF,117,83,9,22,8,75,0,0
113,Azzedine Ounahi,MAR,MF,117,91,1,0,5,40,2,100
113,Boualem Khoukhi,QAT,DF,117,80,1,0,8,25,3,100
116,Rafik Belghali,ALG,DF,116,92,2,0,2,100,0,0
116,Kim Seunggyu,KOR,GK,116,73,0,0,9,11,2,50
116,Robin Hranac,CZE,DF,116,90,1,0,2,0,0,0
116,Emmanuel Agbadou,CIV,DF,116,92,0,0,0,0,0,0
116,Danley Jean Jacques,HAI,MF,116,88,2,0,1,0,3,100
121,Gregor Kobel,SUI,GK,115,81,0,0,1,0,0,0
121,Alan Franco,ECU,MF,115,97,1,0,3,33,0,0
123,Cristian Romero,ARG,DF,113,97,0,0,1,0,0,0
123,Victor Lindelof,SWE,DF,113,95,0,0,2,50,1,100
125,Marko Stamenic,NZL,MF,111,88,1,100,5,60,0,0
125,Ismail Yuksek,TUR,MF,111,94,1,0,2,50,2,100
125,Nicolas Seiwald,AUT,MF,111,93,2,50,1,100,1,100
125,Martin Experience,HAI,DF,111,84,6,0,6,33,3,100
129,Vladimir Coufal,CZE,DF,110,72,20,30,10,60,1,0
129,Joao Cancelo,POR,DF,110,86,6,50,7,57,2,100
129,Casemiro,BRA,MF,110,89,1,100,4,50,0,0
132,Jules Kounde,FRA,DF,109,88,5,0,4,0,0,0
132,Nathan Patterson,SCO,DF,109,86,2,0,3,0,1,100
134,Luka Modric,CRO,MF,108,90,1,0,5,60,0,0
134,Ismael Kone,CAN,MF,108,86,2,0,0,0,0,0
134,Guillermo Varela,URU,DF,108,89,9,33,6,67,1,100
137,Merchas Doski,IRQ,DF,107,87,3,67,7,29,0,0
138,Johan Mojica,COL,DF,106,86,5,20,5,40,0,0
138,David Alaba,AUT,DF,106,90,0,0,2,50,0,0
138,Federico Valverde,URU,MF,106,83,6,0,11,64,5,100
138,Xaver Schlager,AUT,MF,106,95,1,0,1,100,0,0
138,Joe Bell,NZL,MF,106,83,0,0,0,0,1,100
138,Isak Hien,SWE,DF,106,95,0,0,1,0,0,0
144,Jesus Gallardo,MEX,DF,105,83,4,25,6,17,2,100
144,Cesar Montes,MEX,DF,105,93,1,0,3,33,0,0
144,Jefferson Lerma,COL,MF,105,87,0,0,2,0,0,0
144,Fares Chaibi,ALG,MF,105,87,7,0,7,57,0,0
144,Mohamed Hany,EGY,DF,105,82,7,43,4,75,0,0
144,Johny Placide,HAI,GK,105,64,0,0,2,0,0,0
150,Rodrigo De Paul,ARG,MF,104,90,2,0,2,0,0,0
150,James Rodriguez,COL,MF,104,83,10,40,6,33,5,80
150,Ivan Basic,BIH,MF,104,92,12,58,2,50,3,100
153,Daniel Munoz,COL,DF,103,93,2,0,2,0,0,0
154,Gustavo Puerta,COL,DF,102,90,2,0,1,0,2,50
154,Kaishu Sano,JPN,MF,102,94,1,100,1,100,0,0
154,Kevin Danso,AUT,DF,102,91,1,0,1,0,1,100
154,Tomas Araujo,POR,DF,102,96,0,0,0,0,2,50
158,Grant Hanley,SCO,DF,101,93,0,0,5,40,3,100
158,Micky Van De Ven,NED,DF,101,93,3,0,3,67,0,0
158,Fabian Ruiz,ESP,MF,101,96,3,0,6,83,2,100
158,Ghislain Konan,CIV,DF,101,84,3,33,5,80,1,100
158,Nabil Bentaleb,ALG,MF,101,89,0,0,2,100,0,0
158,Piero Hincapie,ECU,DF,101,81,6,33,6,33,0,0
164,Michael Boxall,NZL,DF,100,89,1,100,0,0,0,0
164,Gustaf Lagerbielke,SWE,DF,100,81,1,0,6,67,1,100
164,Noussair Mazraoui,MAR,DF,100,92,3,0,3,67,0,0
164,Yassine Bounou,MAR,GK,100,65,0,0,5,0,0,0
168,Aubrey Modiba,RSA,DF,98,82,6,50,6,17,1,100
168,Yasser Ibrahim,EGY,DF,98,96,0,0,0,0,1,100
168,Israel Reyes,MEX,DF,98,92,2,50,2,0,5,80
168,Youri Tielemans,BEL,MF,98,86,7,29,7,57,0,0
168,Michael Olise,FRA,FW,98,86,3,0,8,75,0,0
168,Kenan Yildiz,TUR,FW,98,91,7,14,8,63,0,0
174,Finn Surman,NZL,DF,97,94,0,0,1,100,0,0
174,Matej Kovar,CZE,GK,97,64,0,0,3,33,0,0
174,Felix Nmecha,GER,MF,97,96,1,0,3,100,0,0
177,Edgar Yoel Barcenas,PAN,MF,96,92,3,67,2,100,3,100
177,Scott Mctominay,SCO,MF,96,91,0,0,1,100,2,100
177,Amir Alammari,IRQ,MF,96,81,5,60,7,57,0,0
180,Mateo Kovacic,CRO,MF,95,97,0,0,1,100,1,100
181,Martin Odegaard,NOR,MF,94,84,5,20,10,50,0,0
181,Zidane Iqbal,IRQ,MF,94,93,1,100,1,100,4,100
181,Raul Rangel,MEX,GK,94,72,0,0,2,0,1,100
184,Erik Lira,MEX,MF,93,89,0,0,1,0,1,100
184,Kristoffer Ajer,NOR,DF,93,90,1,100,0,0,0,0
184,Konrad Laimer,AUT,MF,93,89,4,25,5,80,0,0
184,Omar Rekik,TUN,DF,93,83,2,0,4,25,1,100
184,Mahmoud Abunada,QAT,GK,93,54,0,0,8,0,0,0
184,Akram Afif,QAT,FW,93,78,12,33,12,42,3,67
190,Thomas Meunier,BEL,DF,92,84,5,20,6,50,2,50
190,Wilfried Singo,CIV,DF,92,86,1,0,0,0,0,0
192,Takehiro Tomiyasu,JPN,DF,91,89,1,0,5,40,1,0
192,Jhon Arias,COL,MF,91,96,4,25,3,67,2,100
192,Leandro Trossard,BEL,FW,91,91,6,50,4,75,1,100
192,Otabek Shukurov,UZB,MF,91,89,1,0,2,50,1,100
196,Stjepan Radeljic,BIH,DF,90,91,0,0,1,100,0,0
196,Marcos Llorente,ESP,DF,90,93,4,25,4,75,0,0
196,Issa Laye,QAT,DF,90,94,0,0,1,0,0,0
196,Daichi Kamada,JPN,MF,90,79,2,0,4,50,1,100
196,Gonzalo Plata,ECU,FW,90,86,7,14,8,38,1,100
201,Juan Manuel Sanabria,URU,MF,89,87,10,0,4,75,0,0
201,Facundo Medina,ARG,DF,89,94,2,50,1,100,0,0
201,Franck Kessie,CIV,MF,89,94,0,0,4,75,0,0
201,Hannibal Mejbri,TUN,MF,89,75,6,33,9,44,4,75
201,Vozinha,CPV,GK,89,64,0,0,0,0,0,0
206,Weston Mckennie,USA,MF,88,81,5,20,8,88,0,0
206,Malik Tillman,USA,MF,88,81,10,30,11,55,2,100
206,Kevin De Bruyne,BEL,MF,88,82,14,21,9,33,0,0
209,Nicolas Raskin,BEL,MF,87,90,1,100,3,0,0,0
209,Carlos Harvey,PAN,DF,87,79,1,0,2,0,5,60
211,Alisson,BRA,GK,86,85,0,0,1,0,1,100
211,Philipp Lienhart,AUT,DF,86,92,0,0,3,67,1,100
211,Jordan Pickford,ENG,GK,86,81,0,0,2,50,2,50
211,Leroy Sane,GER,MF,86,85,3,33,4,75,0,0
211,Montassar Talbi,TUN,DF,86,95,0,0,0,0,3,67
216,Brahim Diaz,MAR,FW,85,91,5,60,7,43,0,0
216,Kou Itakura,JPN,DF,85,99,0,0,1,100,0,0
216,Rustam Ashurmatov,UZB,DF,85,80,0,0,4,0,0,0
216,Ivan Sunjic,BIH,MF,85,88,1,0,2,0,0,0
216,Declan Rice,ENG,MF,85,88,20,35,6,50,1,100
216,Julian Quinones,MEX,FW,85,81,2,50,5,100,1,100
222,Michal Sadilek,CZE,MF,84,82,11,18,4,50,2,100
223,Kalidou Koulibaly,SEN,DF,83,88,0,0,1,0,3,100
224,Pape Gueye,SEN,MF,81,84,0,0,8,38,4,100
224,Ibrahim Maza,ALG,MF,81,80,1,0,6,33,1,100
224,Shoja Khalilzadeh,IRN,DF,81,88,0,0,0,0,0,0
224,Amir Murillo,PAN,DF,81,80,7,57,7,71,1,100
224,Marcel Sabitzer,AUT,MF,81,77,17,29,12,75,1,100
224,Josip Stanisic,CRO,DF,81,88,2,50,5,60,1,100
230,Nathaniel Brown,GER,DF,80,88,10,40,6,67,0,0
230,Denzel Dumfries,NED,DF,80,88,7,43,6,67,0,0
230,Josko Gvardiol,CRO,DF,80,86,0,0,5,40,2,50
230,Orjan Nyland,NOR,GK,80,69,0,0,1,0,1,0
230,Emam Ashour,EGY,MF,80,85,2,0,2,50,0,0
230,Mohamed Amine Ben Hmida,TUN,DF,80,84,0,0,1,0,1,0
230,Lionel Messi,ARG,FW,80,74,4,50,6,83,1,0
230,Vinicius Junior,BRA,FW,80,78,8,50,5,80,2,100
230,Ali Nemati,IRN,DF,80,90,1,0,2,0,1,100
239,Ousmane Dembele,FRA,FW,79,82,6,17,6,50,1,100
239,Cesar Blackman,PAN,DF,79,87,0,0,2,100,0,0
241,Diney Borges,CPV,DF,78,72,0,0,2,0,3,33
241,Pedro Miguel,QAT,DF,78,76,2,50,7,29,2,100
241,Leandro Bacuna,CUW,MF,78,85,2,0,3,33,1,100
244,Maxim De Cuyper,BEL,DF,77,83,3,0,1,100,0,0
245,Pico Lopes,CPV,DF,76,79,0,0,3,0,1,0
246,Ramiz Zerrouki,ALG,MF,75,92,0,0,2,100,3,100
246,Saud Abdulhamid,KSA,DF,75,80,1,0,2,50,1,0
246,Ao Tanaka,JPN,MF,75,96,0,0,0,0,0,0
246,Pedro Porro,ESP,DF,75,91,5,40,3,67,2,100
246,Max Crocombe,NZL,GK,75,71,0,0,3,0,0,0
251,Mert Muldur,TUR,DF,74,89,5,20,2,100,0,0
251,Hicham Boudaoui,ALG,MF,74,97,0,0,3,100,1,100
251,Camilo Vargas,COL,GK,74,72,0,0,5,20,0,0
251,Ellyes Skhiri,TUN,MF,74,88,0,0,3,0,2,100
255,El Hadji Malick Diouf,SEN,DF,73,89,7,29,7,71,0,0
255,Thalente Mbatha,RSA,MF,73,86,3,0,1,0,1,100
255,Michel Aebischer,SUI,MF,73,89,6,0,2,50,0,0
255,Paul Okon Engstler,AUS,MF,73,88,1,100,4,75,2,100
255,Jorge Sanchez,MEX,DF,73,96,4,25,1,0,0,0
260,Jonas Adjetey,GHA,DF,72,85,0,0,0,0,2,100
260,Gideon Mensah,GHA,DF,72,88,2,0,1,0,0,0
260,Mohanad Lashin,EGY,MF,72,92,2,0,1,0,5,100
260,Ismael Saibari,MAR,MF,72,83,6,33,6,67,1,100
260,Stefan Posch,AUT,DF,72,78,1,0,5,40,0,0
260,Marin Pongracic,CRO,DF,72,92,0,0,0,0,0,0
260,Manu Kone,FRA,MF,72,92,0,0,1,100,0,0
260,Abdulla Abdullaev,UZB,DF,72,90,0,0,1,100,0,0
268,Tarik Muharemovic,BIH,DF,71,85,0,0,0,0,2,100
268,Sphephelo Sithole,RSA,MF,71,87,0,0,0,0,2,100
268,Yan Diomande,CIV,FW,71,85,8,25,10,60,0,0
268,Zaid Ismael,IRQ,MF,71,89,0,0,0,0,1,0
268,Ramin Rezaeian,IRN,DF,71,66,13,38,11,45,0,0
268,Thiago Almada,ARG,FW,71,90,0,0,1,0,0,0
268,Ivan Perisic,CRO,FW,71,92,9,22,3,67,0,0
268,Eloy Room,CUW,GK,71,49,0,0,1,0,0,0
276,Noor Alrawabdeh,JOR,MF,70,77,0,0,5,40,4,100
276,Oswin Appollis,RSA,FW,70,87,6,0,1,0,1,100
276,Sofyan Amrabat,MAR,MF,70,93,0,0,2,100,2,100
276,David Moller Wolfe,NOR,DF,70,87,3,33,6,33,0,0
276,Julian Ryerson,NOR,FW,70,83,10,40,11,45,0,0
281,Dominik Livakovic,CRO,GK,69,67,0,0,0,0,0,0
281,Karim Boudiaf,QAT,MF,69,94,0,0,4,50,0,0
281,Anass Salah Eddine,MAR,DF,69,96,3,0,1,100,0,0
281,Jean Kevin Duverne,HAI,DF,69,86,2,50,1,100,0,0
285,Yahia Fofana,CIV,GK,68,57,0,0,0,0,0,0
285,Aiden Oneill,AUS,MF,68,78,4,75,5,60,1,0
285,Luca Zidane,ALG,GK,68,94,0,0,0,0,0,0
285,Nahuel Molina,ARG,DF,68,78,0,0,2,50,0,0
289,Emiliano Martinez,ARG,GK,67,76,0,0,1,0,0,0
289,Luis Diaz,COL,FW,67,79,4,25,6,50,3,100
289,Maxime Crepeau,CAN,GK,67,75,0,0,0,0,1,0
289,Bart Verbruggen,NED,GK,67,66,0,0,1,0,0,0
289,Mohammed Alowais,KSA,GK,67,48,0,0,4,0,0,0
289,Hassan Altambakti,KSA,DF,67,79,0,0,2,0,0,0
289,Callum Mccowatt,NZL,MF,67,84,2,0,2,50,0,0
289,Benjamin Tahirovic,BIH,MF,67,82,2,0,2,0,0,0
297,Kristoffer Nordfeldt,SWE,GK,66,68,0,0,3,67,1,100
297,Tomas Holes,CZE,DF,66,83,0,0,1,0,3,100
297,Hamdy Fathy,EGY,MF,66,92,1,0,3,0,3,100
297,Anis Slimane,TUN,MF,66,83,1,100,1,100,1,100
297,John Yeboah,ECU,FW,66,83,6,50,4,100,1,0
297,Yazan Alarab,JOR,DF,66,85,0,0,1,0,0,0
297,Moteb Alharbi,KSA,DF,66,71,1,0,4,25,0,0
297,Chancel Mbemba,COD,DF,66,79,2,0,3,67,1,100
297,Kai Havertz,GER,FW,66,89,2,50,2,0,0,0
297,Aurelien Tchouameni,FRA,MF,66,95,0,0,0,0,0,0
297,Timothy Castagne,BEL,DF,66,92,8,38,2,100,1,0
308,Lucas Digne,FRA,DF,65,91,7,14,2,50,0,0
308,Guela Doue,CIV,DF,65,95,2,50,0,0,0,0
308,Nathan Saliba,CAN,MF,65,95,4,25,3,100,1,100
308,Alexandr Sojka,CZE,MF,65,80,5,40,1,0,3,33
308,Ahmed Fathy,QAT,MF,65,91,0,0,2,0,1,100
308,Orlando Gill,PAR,GK,65,49,0,0,2,0,1,100
314,Jerome Opoku,GHA,DF,64,81,0,0,5,60,4,75
314,John Stones,ENG,DF,64,94,0,0,0,0,0,0
314,Steven Moreira,CPV,DF,64,75,1,100,3,0,0,0
314,Saeid Ezatolahi,IRN,MF,64,80,0,0,3,33,0,0
314,Zaid Tahseen,IRQ,DF,64,83,0,0,3,0,1,100
314,Lionel Mpasi,COD,GK,64,58,0,0,5,0,0,0
320,Mohamed Kanno,KSA,MF,63,95,0,0,2,50,2,100
320,Keito Nakamura,JPN,MF,63,86,4,50,5,100,0,0
320,Matheus Cunha,BRA,FW,63,84,4,0,7,43,0,0
320,Pedro Neto,POR,FW,63,89,5,40,5,80,1,0
320,Sarpreet Singh,NZL,MF,63,76,6,0,4,0,1,100
320,Kenny Mclean,SCO,MF,63,89,2,50,2,100,0,0
320,Denis Zakaria,SUI,MF,63,97,6,17,2,100,0,0
327,Gabriel Gudmundsson,SWE,DF,62,66,4,25,4,25,1,100
327,Mohannad Abutaha,JOR,MF,62,74,6,50,3,33,2,0
327,Milad Mohammadi,IRN,DF,62,82,3,0,2,100,0,0
327,Sadio Mane,SEN,FW,62,87,7,43,4,100,1,100
327,Lamine Camara,SEN,MF,62,89,3,0,2,0,0,0
327,Joel Ordonez,ECU,DF,62,92,0,0,0,0,1,100
333,Orlando Mosquera,PAN,GK,61,77,0,0,0,0,1,100
333,Luis Romo,MEX,MF,61,85,1,0,2,0,0,0
333,Abdallah Nasib,JOR,DF,61,70,0,0,0,0,0,0
333,Alessandro Circati,AUS,DF,61,79,1,0,3,100,0,0
333,Tajon Buchanan,CAN,FW,61,82,14,21,7,57,1,100
333,Carlens Arcus,HAI,DF,61,89,2,50,1,0,0,0
333,Ruben Dias,POR,DF,61,100,0,0,0,0,0,0
340,Nico Oreilly,ENG,DF,60,92,0,0,1,0,0,0
340,Alireza Beiranvand,IRN,GK,60,68,0,0,1,0,1,100
340,Salem Aldawsari,KSA,FW,60,75,1,0,4,75,1,100
340,Kerim Alajbegovic,BIH,FW,60,80,12,0,10,80,1,0
340,Edouard Mendy,SEN,GK,60,82,0,0,0,0,1,100
340,Patrick Beach,AUS,GK,60,57,0,0,2,0,0,0
340,Amar Dedic,BIH,DF,60,75,0,0,1,0,1,100
347,Tim Payne,NZL,DF,59,86,7,14,1,0,0,0
347,Abdukodir Khusanov,UZB,DF,59,86,0,0,1,0,0,0
347,Unai Simon,ESP,GK,59,98,0,0,1,0,0,0
347,Lee Jaesung,KOR,MF,59,78,1,0,2,100,1,0
347,Junior Alonso,PAR,DF,59,61,0,0,4,50,0,0
347,Alexander Schlager,AUT,GK,59,83,0,0,0,0,0,0
347,Sherel Floranus,CUW,DF,59,83,0,0,1,0,0,0
354,Son Heungmin,KOR,FW,58,84,3,33,2,50,0,0
354,Junya Ito,JPN,MF,58,76,13,38,6,67,1,100
354,Mike Maignan,FRA,GK,58,79,0,0,1,0,1,100
354,Christ Inao Oulai,CIV,MF,58,93,0,0,1,100,0,0
358,Riyad Mahrez,ALG,FW,57,89,7,29,5,60,2,100
358,Aaron Wan Bissaka,COD,DF,57,77,3,0,3,67,0,0
358,Nelson Semedo,POR,DF,57,93,4,0,3,0,0,0
358,Fernando Muslera,URU,GK,57,88,0,0,0,0,0,0
358,Hernan Galindez,ECU,GK,57,74,0,0,3,100,0,0
363,Agustin Canobbio,URU,MF,56,89,7,43,3,67,0,0
363,Jonathan David,CAN,FW,56,75,6,0,3,67,1,100
363,Cameron Burgess,AUS,DF,56,80,0,0,2,50,1,0
363,Ruben Vargas,SUI,FW,56,79,18,22,11,36,0,0
363,Petar Sucic,CRO,MF,56,84,1,0,4,25,0,0
363,Francisco Conceicao,POR,FW,56,93,4,25,7,86,0,0
363,Kim Jingyu,KOR,MF,56,96,1,0,2,100,0,0
370,Steve Kapuadi,COD,DF,55,84,0,0,0,0,1,0
370,Ritsu Doan,JPN,MF,55,89,3,0,2,100,0,0
370,John Mcginn,SCO,MF,55,85,9,56,7,57,1,0
370,Elijah Just,NZL,MF,55,87,0,0,3,33,0,0
370,Ugurcan Cakir,TUR,GK,55,91,0,0,0,0,0,0
370,Behruzjon Karimov,UZB,DF,55,78,2,50,3,33,2,0
376,Liberato Cacace,NZL,DF,54,83,2,50,1,0,0,0
376,Ramy Rabia,EGY,DF,54,87,0,0,1,100,2,50
376,Sergino Dest,USA,DF,54,91,7,29,11,73,0,0
376,Armando Obispo,CUW,DF,54,91,0,0,1,100,1,100
376,Djed Spence,ENG,DF,54,94,1,0,1,100,0,0
376,Kylian Mbappe,FRA,FW,54,91,2,0,7,86,2,100
376,Martin Baturina,CRO,MF,54,87,4,50,5,60,1,100
376,Samuel Moutoussamy,COD,MF,54,76,0,0,4,0,1,100
384,Pervis Estupinan,ECU,DF,53,91,3,0,2,0,0,0
384,Jordan Bos,AUS,DF,53,89,4,25,2,100,0,0
384,Ali Ahmed,CAN,FW,53,79,13,23,5,40,1,100
384,Redouane Halhal,MAR,DF,53,94,0,0,0,0,0,0
388,Mostafa Shoubir,EGY,GK,52,69,0,0,2,0,0,0
388,Nkosinathi Sibisi,RSA,DF,52,81,0,0,1,100,3,100
388,Mohamed Salah,EGY,FW,52,87,7,14,5,20,0,0
388,Ben Gannon Doak,SCO,FW,52,90,7,29,1,100,0,0
388,Scott Mckenna,SCO,DF,52,94,0,0,1,0,1,100
388,Alexander Isak,SWE,FW,52,85,3,0,3,67,2,50
388,Yunus Akgun,TUR,FW,52,79,2,50,2,0,0,0
388,Park Jinseob,KOR,DF,52,94,0,0,1,0,0,0
388,Nizar Alrashdan,JOR,MF,52,77,0,0,4,25,2,100
388,Josue Casimir,HAI,FW,52,83,2,0,3,33,0,0
388,Diogo Costa,POR,GK,52,81,0,0,1,0,1,0
388,Jude Bellingham,ENG,MF,52,87,2,0,4,0,0,0
388,Ryan Gravenberch,NED,MF,52,88,4,25,3,67,0,0
388,Romano Schmid,AUT,MF,52,69,1,0,2,50,1,100
