Posição,Jogador,País,Posição Campo,Gols contra,Perdas de bola forçadas,Pressões defensivas exercidas,Pressões defensivas exercidas diretamente
12,Marc Cucurella,ESP,DF,0,4,22,6
12,Findlay Curtis,SCO,FW,0,1,12,0
12,Marcos Llorente,ESP,DF,0,5,18,4
12,Callan Elliot,NZL,DF,0,0,4,1
12,Ferran Torres,ESP,FW,0,2,43,7
12,Jesse Randall,NZL,FW,0,1,3,1
12,Tyler Bindon,NZL,DF,0,2,1,0
12,Alex Baena,ESP,MF,0,3,19,1
12,Behruzjon Karimov,UZB,DF,0,5,55,7
12,Robin Hranac,CZE,DF,0,15,37,15
12,Logan Rogerson,NZL,FW,0,0,0,0
12,Otabek Shukurov,UZB,MF,0,3,77,11
12,Lachlan Bayliss,NZL,MF,0,0,0,0
12,Arda Guler,TUR,FW,0,10,28,3
12,Kaan Ayhan,TUR,MF,0,0,0,0
12,Milos Degenek,AUS,DF,0,0,0,0
12,Igor Sergeev,UZB,FW,0,0,17,2
12,Alexander Isak,SWE,FW,0,1,41,8
12,Gustaf Nilsson,SWE,FW,0,0,0,0
12,Jacob Italiano,AUS,DF,0,6,83,14
12,Ardon Jashari,SUI,MF,0,0,0,0
12,Armin Gigovic,BIH,MF,0,3,11,3
12,Tomas Chory,CZE,FW,0,0,14,1
12,Lucas Bergvall,SWE,MF,0,5,22,4
12,Victor Munoz,ESP,FW,0,0,0,0
12,David Raya,ESP,GK,0,0,0,0
12,Jordan Bos,AUS,DF,0,15,56,16
12,Ozan Kabak,TUR,DF,0,0,0,0
12,Stepan Chaloupek,CZE,DF,0,1,22,15
12,Zeki Amdouni,SUI,FW,0,1,6,2
12,Vladimir Darida,CZE,MF,0,10,34,1
12,Lamine Yamal,ESP,FW,0,6,8,2
12,Nico Elvedi,SUI,DF,0,5,15,6
12,Ismail Yuksek,TUR,MF,0,16,34,13
12,Matej Kovar,CZE,GK,0,0,0,0
12,Utkir Yusupov,UZB,GK,0,0,0,0
12,Aurele Amenda,SUI,DF,0,0,0,0
12,Mert Muldur,TUR,DF,0,1,8,5
12,Farrukh Sayfiev,UZB,DF,0,1,5,0
12,Patrik Schick,CZE,FW,0,7,74,4
12,Fabian Rieder,SUI,MF,0,6,57,5
12,Abdukodir Khusanov,UZB,DF,0,10,14,3
12,Cedric Itten,SUI,FW,0,1,7,1
12,Connor Metcalfe,AUS,MF,0,6,74,4
12,Vladimir Coufal,CZE,DF,0,5,49,10
12,Yasin Ayari,SWE,MF,0,6,47,10
12,Liam Kelly,SCO,GK,0,0,0,0
12,Lucas Herrington,AUS,DF,0,0,0,0
12,Yeremy Pino,ESP,FW,0,3,17,4
12,Tarik Muharemovic,BIH,DF,0,7,14,7
12,Nihad Mujakic,BIH,DF,0,0,0,0
12,Sead Kolasinac,BIH,DF,0,9,33,15
12,Paul Izzo,AUS,GK,0,0,0,0
12,Zeki Celik,TUR,DF,0,1,20,5
12,Tomas Soucek,CZE,MF,0,4,42,5
12,Ken Sema,SWE,MF,0,0,0,0
12,Mathew Leckie,AUS,FW,0,2,30,4
12,Callum Mccowatt,NZL,MF,0,7,48,9
12,Kamaldeen Sulemana,GHA,FW,0,0,31,6
12,Pape Matar Sarr,SEN,MF,0,1,12,3
12,Alidu Seidu,GHA,DF,0,0,0,0
12,Carlens Arcus,HAI,DF,0,12,34,11
12,Christopher Operi,CIV,DF,0,0,0,0
12,Khuliso Mudau,RSA,DF,0,30,69,12
12,Hamdy Fathy,EGY,MF,0,3,32,12
12,Haissem Hassan,EGY,FW,0,0,0,0
12,Gilson Benchimol,CPV,FW,0,4,37,3
12,Ayoube Amaimouni,MAR,FW,0,4,10,3
12,Wilguens Paugain,HAI,DF,0,0,0,0
12,Hannes Delcroix,HAI,DF,0,9,21,9
12,Yannick Semedo,CPV,MF,0,2,6,0
12,Iliman Ndiaye,SEN,FW,0,0,8,1
12,Gessime Yassine,MAR,MF,0,0,5,2
12,Ahmed Fatouh,EGY,DF,0,20,43,8
12,Telmo Arcanjo,CPV,MF,0,6,27,1
12,Samir El Mourabet,MAR,MF,0,3,19,2
12,Owen Goodman,CAN,GK,0,0,0,0
12,Bara Sapoko Ndiaye,SEN,MF,0,0,0,0
12,Jean Michael Seri,CIV,MF,0,0,0,0
12,Pape Gueye,SEN,MF,0,4,19,2
12,Habib Diarra,SEN,MF,0,1,19,6
12,Youssef Belammari,MAR,DF,0,0,0,0
12,Sphephelo Sithole,RSA,MF,0,4,44,6
12,Joao Paulo,CPV,MF,0,3,11,1
12,Hazem Mastouri,TUN,FW,0,0,0,0
12,Moutaz Neffati,TUN,DF,0,0,0,0
12,Karim Hafez,EGY,DF,0,0,3,1
12,Chemsdine Talbi,MAR,MF,0,1,18,1
12,Emam Ashour,EGY,MF,0,2,31,3
12,Franck Kessie,CIV,MF,0,8,61,5
12,Redouane Halhal,MAR,DF,0,0,4,3
12,Moise Bombito,CAN,DF,0,0,0,0
12,Martin Experience,HAI,DF,0,26,91,26
12,Aubrey Modiba,RSA,DF,0,11,57,12
12,Mahdy Soliman,EGY,GK,0,0,0,0
12,Thabang Matuludi,RSA,DF,0,0,0,0
12,Zizo,EGY,FW,0,3,5,0
12,Ayyoub Bouaddi,MAR,MF,0,8,56,17
12,Elias Saad,TUN,FW,0,6,53,3
12,Zakaria El Ouahdi,MAR,DF,0,0,0,0
12,Nabil Donga,EGY,MF,0,0,0,0
12,Nicolas Pepe,CIV,FW,0,4,47,4
12,Stephen Eustaquio,CAN,MF,0,8,32,5
12,El Hadji Malick Diouf,SEN,DF,0,13,31,5
12,Alban Lafont,CIV,GK,0,0,0,0
12,Neil El Aynaoui,MAR,MF,0,18,60,27
12,Jonathan Osorio,CAN,MF,0,0,1,1
12,Bilal El Khannouss,MAR,MF,0,8,69,12
12,Ali Ahmed,CAN,FW,0,12,65,6
12,Ricardo Goss,RSA,GK,0,0,0,0
12,Ime Okon,RSA,DF,0,2,19,4
12,Mohamed Hadj Mahmoud,TUN,MF,0,0,9,4
12,Seko Fofana,CIV,MF,0,3,28,1
12,Markhus Lacroix,HAI,DF,0,0,0,0
12,Chadi Riad,MAR,DF,0,7,22,10
12,Themba Zwane,RSA,MF,0,2,12,0
12,Ismael Saibari,MAR,MF,0,26,128,12
12,Jean Kevin Duverne,HAI,DF,0,3,56,9
12,Azzedine Ounahi,MAR,MF,0,6,88,5
12,Ronwen Williams,RSA,GK,0,0,0,0
12,Mohanad Lashin,EGY,MF,0,5,69,26
12,Lenny Joseph,HAI,FW,0,4,43,5
12,Sabri Ben Hessen,TUN,GK,0,0,0,0
12,Luc De Fougerolles,CAN,DF,0,13,27,13
12,Ismael Gharbi,TUN,MF,0,2,23,2
12,Yahia Fofana,CIV,GK,0,0,0,0
12,Raed Chikhaoui,TUN,DF,0,0,0,0
12,Yasser Ibrahim,EGY,DF,0,10,13,6
12,Soufiane Rahimi,MAR,FW,0,0,19,3
12,Brahim Diaz,MAR,FW,0,10,75,6
12,Adam Arous,TUN,DF,0,0,0,0
12,Kamogelo Sebelebele,RSA,FW,0,1,4,0
12,Yan Valery,TUN,DF,0,10,41,5
12,Anass Salah Eddine,MAR,DF,0,0,18,8
12,Ghislain Konan,CIV,DF,0,9,50,6
12,Marawan Attia,EGY,MF,0,10,61,12
12,Richie Laryea,CAN,DF,0,14,42,14
12,Noussair Mazraoui,MAR,DF,0,20,31,8
12,Evan Ndicka,CIV,DF,0,0,0,0
12,Moussa Niakhate,SEN,DF,0,8,11,3
12,Teboho Mokoena,RSA,MF,0,7,68,18
12,Mostafa Zico,EGY,MF,0,6,62,13
12,Niko Sigur,CAN,DF,0,0,0,0
12,Amad Diallo,CIV,FW,0,6,35,8
12,Cyle Larin,CAN,FW,0,8,69,5
12,Ayoub El Kaabi,MAR,FW,0,2,25,7
12,Lyle Foster,RSA,FW,0,1,25,1
12,Issa Diop,MAR,DF,0,1,6,1
12,Trezeguet,EGY,FW,0,1,13,2
12,Achraf Hakimi,MAR,DF,0,9,38,14
12,Oswin Appollis,RSA,FW,0,8,87,6
12,Elias Achouri,TUN,FW,0,1,8,3
12,Ruben Providence,HAI,FW,0,7,100,9
12,Liam Millar,CAN,MF,0,3,20,9
12,Ibrahim Sangare,CIV,MF,0,6,40,7
12,Frantzdy Pierrot,HAI,FW,0,3,41,3
12,Tani Oluwaseyi,CAN,FW,0,5,28,3
12,Hossam Abdelmaguid,EGY,DF,0,1,3,0
12,Bradley Cross,RSA,DF,0,0,0,0
12,Parfait Guiagon,CIV,MF,0,0,0,0
12,Pathe Ciss,SEN,MF,0,1,6,3
12,Munir El Kajoui,MAR,GK,0,0,0,0
12,Jonathan David,CAN,FW,0,28,96,10
12,Sofyan Amrabat,MAR,MF,0,5,26,13
12,Ahmed Reda Tagnaouti,MAR,GK,0,0,0,0
12,Mortadha Ben Ouanes,TUN,DF,0,0,0,0
12,Promise David,CAN,FW,0,3,5,0
12,Wilfried Singo,CIV,DF,0,13,24,12
12,Ramy Rabia,EGY,DF,0,2,12,6
12,Tajon Buchanan,CAN,FW,0,12,52,11
12,Mahmoud Saber,EGY,MF,0,0,0,0
12,Evidence Makgopa,RSA,FW,0,11,50,6
12,Augustine Boakye,GHA,MF,0,0,0,0
12,Danley Jean Jacques,HAI,MF,0,11,78,25
12,Woodensky Pierre,HAI,MF,0,0,0,0
12,Mohamed Amine Ben Hmida,TUN,DF,0,4,21,7
12,Marvin Senaya,GHA,DF,0,12,53,15
12,Aymen Dahmen,TUN,GK,0,0,0,0
12,Montassar Talbi,TUN,DF,0,3,9,4
12,Samukele Kabini,RSA,DF,0,0,0,0
12,Ange Yoan Bonny,CIV,FW,0,3,60,4
12,Hamza Abdelkarim,EGY,FW,0,4,21,4
12,Derrick Luckassen,GHA,DF,0,0,0,0
12,Alfie Jones,CAN,DF,0,0,0,0
12,Cherif Ndiaye,SEN,FW,0,0,0,0
12,Elye Wahi,CIV,FW,0,4,37,1
12,Prince Adu,GHA,FW,0,0,19,4
12,Nkosinathi Sibisi,RSA,DF,0,2,15,6
12,Kevin Pina,CPV,MF,0,6,48,15
12,Rayan Elloumi,TUN,FW,0,0,0,0
12,Kojo Peprah Oppong,GHA,DF,0,0,3,0
12,Tarek Alaa,EGY,DF,0,0,0,0
12,Kwasi Sibo,GHA,MF,0,2,39,6
12,Ricardo Ade,HAI,DF,0,3,24,5
12,Oumar Diakite,CIV,FW,0,0,0,0
12,Ismail Jakobs,SEN,DF,0,0,7,3
12,Mohamed Salah,EGY,FW,0,11,49,8
12,Caleb Yirenkyi,GHA,MF,0,7,74,10
12,Josue Duverger,HAI,GK,0,0,0,0
12,Simon Adingra,CIV,FW,0,0,11,1
12,Assane Diao,SEN,FW,0,0,0,0
12,Nathan Saliba,CAN,MF,0,2,25,10
12,Thapelo Maseko,RSA,FW,0,7,63,14
12,Alexandre Pierre,HAI,GK,0,0,0,0
12,Joseph Anang,GHA,GK,0,0,0,0
12,Mbekezeli Mbokazi,RSA,DF,0,8,42,13
12,Jonas Adjetey,GHA,DF,0,3,15,4
12,Christopher Bonsu Baah,GHA,FW,0,0,0,0
12,Jean Ricner Bellegarde,HAI,MF,0,13,89,17
12,Hannibal Mejbri,TUN,MF,0,10,85,13
12,Louicius Deedson,HAI,FW,0,3,30,4
12,Johny Placide,HAI,GK,0,0,0,0
12,Jayden Adams,RSA,MF,0,2,43,2
12,Ousmane Diomande,CIV,DF,0,0,0,0
12,Lamine Camara,SEN,MF,0,6,80,11
12,Mohamed Alaa,EGY,GK,0,0,0,0
12,Jordan Ayew,GHA,FW,0,10,109,14
12,Odilon Kossounou,CIV,DF,0,1,4,1
12,Benjamin Asare,GHA,GK,0,0,0,0
12,Iqraam Rayners,RSA,FW,0,7,81,2
12,Anis Slimane,TUN,MF,0,2,48,4
12,Brandon Thomas Asante,GHA,FW,0,3,19,0
12,Tshepang Moremi,RSA,FW,0,1,14,1
12,Omar Rekik,TUN,DF,0,5,17,5
12,Evann Guessand,CIV,FW,0,2,9,2
12,Jerome Opoku,GHA,DF,0,5,9,7
12,Duckens Nazon,HAI,FW,0,1,6,0
12,Relebohile Mofokeng,RSA,FW,0,4,84,7
12,Baba Rahman,GHA,DF,0,0,0,0
12,Antoine Semenyo,GHA,MF,0,21,57,10
12,Ernest Nuamah,GHA,FW,0,1,41,5
12,Derrick Etienne,HAI,FW,0,0,2,0
12,Mohamed Kone,CIV,GK,0,0,0,0
12,Khalil Ayari,TUN,MF,0,0,0,0
12,Christ Inao Oulai,CIV,MF,0,13,41,10
12,Jayden Nelson,CAN,FW,0,0,0,0
12,Khulumani Ndamane,RSA,DF,0,0,0,0
12,Carl Sainte,HAI,MF,0,0,0,0
12,Alphonso Davies,CAN,DF,0,0,0,0
12,Sipho Chaine,RSA,GK,0,0,0,0
12,Emmanuel Agbadou,CIV,DF,0,4,23,5
12,Abdul Fatawu,GHA,FW,0,5,25,3
12,Thalente Mbatha,RSA,MF,0,8,83,13
12,Yan Diomande,CIV,FW,0,6,70,12
12,Thomas Partey,GHA,MF,0,3,14,6
12,Ali Abdi,TUN,DF,0,17,50,17
12,Yassin Fortune,HAI,FW,0,0,0,0
12,Maxime Crepeau,CAN,GK,0,0,0,0
12,Lawrence Ati Zigi,GHA,GK,0,0,0,0
12,Elisha Owusu,GHA,MF,0,3,18,6
12,Nicolas Jackson,SEN,FW,0,7,89,13
12,Abdul Mumin,GHA,DF,0,0,0,0
12,Wilson Isidor,HAI,FW,0,7,88,1
12,Mohamed Abdelmoneim,EGY,DF,0,0,0,0
12,Guela Doue,CIV,DF,0,3,31,7
12,Olwethu Makhanya,RSA,DF,0,0,0,0
12,Dayne St Clair,CAN,GK,0,0,0,0
12,Jovane Cabral,CPV,MF,0,12,46,4
12,Bazoumana Toure,CIV,FW,0,2,33,2
12,Gideon Mensah,GHA,DF,0,5,38,12
12,Inaki Williams,GHA,FW,0,0,28,2
12,Garven Metusala,HAI,DF,0,0,0,0
12,Laros Duarte,CPV,MF,0,4,61,2
12,Mathieu Choiniere,CAN,MF,0,2,19,2
12,Rani Khedira,TUN,MF,0,4,17,4
12,Bamba Dieng,SEN,FW,0,2,15,0
12,Yehvann Diouf,SEN,GK,0,0,0,0
12,Derek Cornelius,CAN,DF,0,4,20,4
12,Krepin Diatta,SEN,DF,0,3,21,3
12,Ellyes Skhiri,TUN,MF,0,9,29,7
12,Sebastian Tounekti,TUN,MF,0,1,31,1
12,Keeto Thermoncy,HAI,DF,0,0,0,0
12,Ismaila Sarr,SEN,FW,0,3,57,9
12,Antoine Mendy,SEN,DF,0,0,0,0
12,Kelvin Pires,CPV,DF,0,0,0,0
12,Ismael Kone,CAN,MF,0,8,25,5
12,Mostafa Shoubir,EGY,GK,0,0,0,0
12,Dylan Bronn,TUN,DF,0,1,4,1
12,Abdoulaye Seck,SEN,DF,0,0,0,0
12,Joel Waterman,CAN,DF,0,0,0,0
12,Dailon Livramento,CPV,FW,0,1,28,1
12,Sadio Mane,SEN,FW,0,7,77,7
12,Ibrahim Mbaye,SEN,FW,0,0,15,1
12,Ibrahim Adel,EGY,FW,0,2,4,2
12,Firas Chaouat,TUN,FW,0,0,11,0
12,Kalidou Koulibaly,SEN,DF,0,3,21,5
12,Omar Marmoush,EGY,FW,0,20,50,4
12,Wagner Pina,CPV,DF,0,0,0,0
12,Idrissa Gana Gueye,SEN,MF,0,16,53,10
12,Jacob Shaffelburg,CAN,MF,0,4,12,4
12,Mohamed Elshenawy,EGY,GK,0,0,0,0
12,Alistair Johnston,CAN,DF,0,5,28,7
12,Edouard Mendy,SEN,GK,0,0,0,0
12,Mory Diaw,SEN,GK,0,0,0,0
12,Mouhib Chamakh,TUN,GK,0,0,0,0
12,Mamadou Sarr,SEN,DF,0,0,0,0
12,Jearl Margaritha,CUW,FW,0,3,23,1
12,Kenji Gorre,CUW,FW,0,0,8,1
12,Roshon Van Eijma,CUW,DF,0,1,5,3
12,Ermin Mahmic,BIH,MF,0,1,27,3
12,Martin Zlomislic,BIH,GK,0,0,0,0
12,Jurien Gaari,CUW,DF,0,4,20,9
12,Kevin Felida,CUW,MF,0,0,0,0
12,Kerim Alajbegovic,BIH,FW,0,7,70,8
12,Sherel Floranus,CUW,DF,0,4,63,13
12,Juninho Bacuna,CUW,MF,0,11,91,9
12,Jeremy Antonisse,CUW,FW,0,1,26,2
12,Sontje Hansen,CUW,FW,0,2,31,1
12,Gervane Kastaneer,CUW,FW,0,0,9,2
12,Trevor Doornbusch,CUW,GK,0,0,0,0
12,Godfried Roemeratoe,CUW,MF,0,0,4,0
12,Juergen Locadia,CUW,FW,0,4,46,3
12,Eloy Room,CUW,GK,0,0,0,0
12,Tyrese Noslin,CUW,FW,0,0,0,0
12,Amar Memic,BIH,MF,0,11,52,9
12,Armando Obispo,CUW,DF,0,2,18,9
12,Tyrick Bodak,CUW,GK,0,0,0,0
12,Leandro Bacuna,CUW,MF,0,14,73,11
12,Shurandy Sambo,CUW,DF,0,0,0,0
12,Brandley Kuwas,CUW,FW,0,0,0,0
12,Joshua Brenet,CUW,DF,0,14,50,4
12,Jovo Lukic,BIH,FW,0,5,34,2
12,Livano Comenencia,CUW,MF,0,8,79,13
12,Deveron Fonville,CUW,DF,0,7,51,10
12,Mladen Jurkas,BIH,GK,0,0,0,0
12,Tahith Chong,CUW,MF,0,2,76,4
12,Arjany Martha,CUW,MF,0,0,0,0
12,Riechedly Bazoer,CUW,DF,0,1,11,3
12,Noor Alrawabdeh,JOR,MF,0,14,107,14
12,Keisuke Osako,JPN,GK,0,0,0,0
12,Achref Abada,ALG,DF,0,0,0,0
12,Cedric Bakambu,COD,FW,0,5,68,3
12,Merchas Doski,IRQ,DF,0,2,49,20
12,Logan Costa,CPV,DF,0,0,0,0
